1)tuId	2)tuName	3)operonId	4)operonName	5)tuGenesIds	6)tuGenesNames	7)promoterId	8)promoterName	9)promoterPos	10)terminatorIds	11)sigmaFactor	12)tfsIds	13)tfsNames	14)tuGenesBnumber	15)firstGenePos	16)lastGenePos	17)terminatorPositions	18)DBXRef 
RDBECOLITUC00098	sgrST-setA	RDBECOLIOPC02626	sgrST-setA	RDBECOLIGNC02674,RDBECOLIGNC01690,RDBECOLIGNC02945	sgrT;setA;sgrS	RDBECOLIPMC03082	sgrSp	77367		sigma70	RDBECOLITFC00057,RDBECOLITFC00107	Cra,SgrR	b4662;b0070;b4577	77367	78799		Ecocyc:TU0-12806 
RDBECOLITUC00099	leuO	RDBECOLIOPC03100	leuO	RDBECOLIGNC00523	leuO	RDBECOLIPMC03265	leuOp	84188		sigma70	RDBECOLITFC00136,RDBECOLITFC00136,RDBECOLITFC00190,RDBECOLITFC00212,RDBECOLITFC00020	SlyA,SlyA,LrhA,LeuO,H-NS	b0076	84368	85312		Ecocyc:TU0-12807 
RDBECOLITUC00100	cra	RDBECOLIOPC01049	cra	RDBECOLIGNC00332	cra	RDBECOLIPMC00632	fruRp8	87947		sigma32	RDBECOLITFC00202	PhoB	b0080	88028	89032		Ecocyc:TU0-12808 
RDBECOLITUC00101	lpxC	RDBECOLIOPC03591	mraZW-ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	RDBECOLIGNC00259	lpxC	RDBECOLIPMC03259	lpxCp1	106508	RDBECOLITMC00053	sigma70			b0096	106557	107474	107501-107544	Ecocyc:TU0-12809 
RDBECOLITUC00102	coaE-zapD-yacG	RDBECOLIOPC01722	coaE-zapD-yacG	RDBECOLIGNC02184,RDBECOLIGNC02185,RDBECOLIGNC02186	coaE;zapD;yacG								b0103;b0102;b0101	113219	111649		Ecocyc:TU0-12810 
RDBECOLITUC00103	ppdD-hofBC	RDBECOLIOPC02432	ppdD-hofBC	RDBECOLIGNC02007,RDBECOLIGNC02006,RDBECOLIGNC01729	ppdD;hofB;hofC	RDBECOLIPMC00282	ppdDp	117705		sigma70	RDBECOLITFC00189	CRP	b0108;b0107;b0106	117549	114522		Ecocyc:TU0-12811 
RDBECOLITUC00104	nadC	RDBECOLIOPC01370	nadC	RDBECOLIGNC01499	nadC	RDBECOLIPMC00530	nadCp	118663			RDBECOLITFC00189	CRP	b0109	118645	117752		Ecocyc:TU0-12812 
RDBECOLITUC00105	yacL	RDBECOLIOPC00475	yacL	RDBECOLIGNC02323	yacL	RDBECOLIPMC03277	yacLp	134339					b0119	134388	134750		Ecocyc:TU0-12813 
RDBECOLITUC00106	yadGH	RDBECOLIOPC02012	yadGH	RDBECOLIGNC02192,RDBECOLIGNC02191	yadH;yadG								b0128;b0127	142779	144472		Ecocyc:TU0-12815 
RDBECOLITUC00107	yadI	RDBECOLIOPC00999	yadI	RDBECOLIGNC02193	yadI								b0129	144577	145017		Ecocyc:TU0-12816 
RDBECOLITUC00108	yadE	RDBECOLIOPC00206	yadE	RDBECOLIGNC01685	yadE								b0130	145081	146310		Ecocyc:TU0-12817 
RDBECOLITUC00109	yadC	RDBECOLIOPC01654	yadMLKC	RDBECOLIGNC01619	yadC	RDBECOLIPMC03193	yadCp						b0135	150953	149715		Ecocyc:TU0-12818 
RDBECOLITUC00110	hrpB	RDBECOLIOPC00704	hrpB	RDBECOLIGNC02199	hrpB								b0148	162105	164534		Ecocyc:TU0-12819 
RDBECOLITUC00111	uof-fur	RDBECOLIOPC02926	fldA-uof-fur	RDBECOLIGNC02643,RDBECOLIGNC00352	uof;fur	RDBECOLIPMC00410	uofp	710829	RDBECOLITMC00324,RDBECOLITMC00357		RDBECOLITFC00216,RDBECOLITFC00201,RDBECOLITFC00216	OxyR,SoxS,OxyR	b4637;b0683	710725	710200	710162-710180;710118-710134	Ecocyc:TU0-1281 
RDBECOLITUC00112	mrcB	RDBECOLIOPC01312	mrcB	RDBECOLIGNC00597	mrcB	RDBECOLIPMC03278	mrcBp	164721					b0149	164730	167264		Ecocyc:TU0-12820 
RDBECOLITUC00113	clcA	RDBECOLIOPC00426	clcA	RDBECOLIGNC02201	clcA								b0155	175107	176528		Ecocyc:TU0-12821 
RDBECOLITUC00114	mnt-btuF-yadS	RDBECOLIOPC02794	mnt-btuF-yadS	RDBECOLIGNC01077,RDBECOLIGNC02204,RDBECOLIGNC02203	mtn;btuF;yadS	RDBECOLIPMC03055	mtnp	179183		sigma70			b0159;b0158;b0157	179153	177001		Ecocyc:TU0-12822 
RDBECOLITUC00115	dgt	RDBECOLIOPC01042	dgt	RDBECOLIGNC00219	dgt	RDBECOLIPMC03056	dgtp1	179196					b0160	179237	180754		Ecocyc:TU0-12823 
RDBECOLITUC00116	yaeH	RDBECOLIOPC00156	yaeH	RDBECOLIGNC02206	yaeH								b0163	184095	183709		Ecocyc:TU0-12825 
RDBECOLITUC00117	yaeI	RDBECOLIOPC01703	yaeI	RDBECOLIGNC02207	yaeI								b0164	185069	184257		Ecocyc:TU0-12826 
RDBECOLITUC00118	map-glnD-dapD	RDBECOLIOPC03044	map-glnD-dapD	RDBECOLIGNC00562,RDBECOLIGNC01376,RDBECOLIGNC00201	map;glnD;dapD						RDBECOLITFC00074,RDBECOLITFC00051,RDBECOLITFC00201	MarA,Rob,SoxS	b0168;b0167;b0166	189506	185123		Ecocyc:TU0-12827 
RDBECOLITUC00119	fldA-uof-fur	RDBECOLIOPC02926	fldA-uof-fur	RDBECOLIGNC02643,RDBECOLIGNC00352,RDBECOLIGNC00312	uof;fur;fldA	RDBECOLIPMC00411	fldAp	711521	RDBECOLITMC00357,RDBECOLITMC00324		RDBECOLITFC00201	SoxS	b4637;b0683;b0684	711465	710200	710118-710134;710162-710180	Ecocyc:TU0-1282 
RDBECOLITUC00120	dxr-uppS-cdsA	RDBECOLIOPC03310	dxr-uppS-cdsA	RDBECOLIGNC00135,RDBECOLIGNC02988,RDBECOLIGNC02366	cdsA;ispU;dxr								b0175;b0174;b0173	193521	196534		Ecocyc:TU0-12831 
RDBECOLITUC00121	yaeR	RDBECOLIOPC00465	yaeR	RDBECOLIGNC02991	yaeR								b0187	211877	212266		Ecocyc:TU0-12832 
RDBECOLITUC00122	tilS	RDBECOLIOPC01998	tilS	RDBECOLIGNC02992	tilS								b0188	212331	213629		Ecocyc:TU0-12833 
RDBECOLITUC00123	yaeP-rof	RDBECOLIOPC00985	yaeP-rof	RDBECOLIGNC02969,RDBECOLIGNC02993	yaeP;rof	RDBECOLIPMC00533	yaePp	214187			RDBECOLITFC00189	CRP	b4406;b0189	214125	213678		Ecocyc:TU0-12834 
RDBECOLITUC00124	yaeQ-arfB-nlpE	RDBECOLIOPC00194	yaeQ-arfB-nlpE	RDBECOLIGNC02033,RDBECOLIGNC02218,RDBECOLIGNC02994	nlpE;arfB;yaeQ	RDBECOLIPMC00534	yaeQp	214280			RDBECOLITFC00189	CRP	b0192;b0191;b0190	214291	215979		Ecocyc:TU0-12835 
RDBECOLITUC00125	yaeF	RDBECOLIOPC01638	yaeF	RDBECOLIGNC02034	yaeF						RDBECOLITFC00135	Nac	b0193	217003	216179		Ecocyc:TU0-12836 
RDBECOLITUC00126	rcsF-trmO	RDBECOLIOPC00692	rcsF-trmO	RDBECOLIGNC01457,RDBECOLIGNC01458	rcsF;trmO								b0196;b0195	219995	218887		Ecocyc:TU0-12837 
RDBECOLITUC00127	gmhB	RDBECOLIOPC02475	gmhB	RDBECOLIGNC01673	gmhB	RDBECOLIPMC03282	gmhBp	222806					b0200	222833	223408		Ecocyc:TU0-12838 
RDBECOLITUC00128	dkgB	RDBECOLIOPC01296	dkgB	RDBECOLIGNC01590	dkgB	RDBECOLIPMC00314	dkgBp	229098		sigma38	RDBECOLITFC00038,RDBECOLITFC00038	NsrR,NsrR	b0207	229167	229970		Ecocyc:TU0-12839 
RDBECOLITUC00129	fur	RDBECOLIOPC02926	fldA-uof-fur	RDBECOLIGNC00352	fur	RDBECOLIPMC03573	furpb	710723	RDBECOLITMC00357,RDBECOLITMC00324	sigma70	RDBECOLITFC00189,RDBECOLITFC00093,RDBECOLITFC00093	CRP,Fur,Fur	b0683	710646	710200	710118-710134;710162-710180	Ecocyc:TU0-1283 
RDBECOLITUC00130	yafDE	RDBECOLIOPC00415	yafDE	RDBECOLIGNC01593,RDBECOLIGNC01592	yafE;yafD	RDBECOLIPMC03158	yafDp	231064		sigma32			b0210;b0209	231122	232549		Ecocyc:TU0-12840 
RDBECOLITUC00131	mltD	RDBECOLIOPC02043	mltD	RDBECOLIGNC00240	mltD						RDBECOLITFC00135	Nac	b0211	233955	232597		Ecocyc:TU0-12841 
RDBECOLITUC00132	gloB	RDBECOLIOPC01030	gloB	RDBECOLIGNC02995	gloB								b0212	234782	234027		Ecocyc:TU0-12842 
RDBECOLITUC00133	dnaQ	RDBECOLIOPC03120	dnaQ	RDBECOLIGNC00237	dnaQ								b0215	236067	236798		Ecocyc:TU0-12843 
RDBECOLITUC00134	yafT	RDBECOLIOPC01688	yafT	RDBECOLIGNC02997	yafT								b0217	237335	238120		Ecocyc:TU0-12844 
RDBECOLITUC00135	gmhA	RDBECOLIOPC00736	gmhA	RDBECOLIGNC03002	gmhA								b0222	243543	244121		Ecocyc:TU0-12846 
RDBECOLITUC00136	yafJ	RDBECOLIOPC02394	yafJ	RDBECOLIGNC03003	yafJ								b0223	244327	245094		Ecocyc:TU0-12847 
RDBECOLITUC00137	ldtF	RDBECOLIOPC01343	ldtF	RDBECOLIGNC03004	dpaA						RDBECOLITFC00135	Nac	b0224	245805	245065		Ecocyc:TU0-12848 
RDBECOLITUC00138	dinJ-yafQ	RDBECOLIOPC00456	dinJ-yafQ	RDBECOLIGNC03006,RDBECOLIGNC03005	dinJ;yafQ	RDBECOLIPMC00272	dinJp	246615		sigma70	RDBECOLITFC00234,RDBECOLITFC00214,RDBECOLITFC00151	SrsR,LexA,DinJ-YafQ	b0226;b0225	246502	245961		Ecocyc:TU0-12849 
RDBECOLITUC00139	yafL	RDBECOLIOPC01983	yafL	RDBECOLIGNC03007	yafL								b0227	246712	247461		Ecocyc:TU0-12850 
RDBECOLITUC00140	rayT	RDBECOLIOPC00975	rayT	RDBECOLIGNC03008	rayT								b0228	247637	248134		Ecocyc:TU0-12851 
RDBECOLITUC00141	lafU	RDBECOLIOPC00182	lafU	RDBECOLIGNC03010	lafU								b0230	250072	250827		Ecocyc:TU0-12852 
RDBECOLITUC00142	dinB-yafNOP	RDBECOLIOPC03107	dinB-yafNOP	RDBECOLIGNC03014,RDBECOLIGNC03013,RDBECOLIGNC03012,RDBECOLIGNC03011	yafP;yafO;yafN;dinB	RDBECOLIPMC00296	dinBp	250880		sigma70	RDBECOLITFC00214	LexA	b0234;b0233;b0232;b0231	250898	253161		Ecocyc:TU0-12853 
RDBECOLITUC00143	yafNOP	RDBECOLIOPC03107	dinB-yafNOP	RDBECOLIGNC03014,RDBECOLIGNC03013,RDBECOLIGNC03012	yafP;yafO;yafN	RDBECOLIPMC03207	yafNp	251969		sigma70	RDBECOLITFC00214	LexA	b0234;b0233;b0232	252005	253161		Ecocyc:TU0-12854 
RDBECOLITUC00144	ykfJ-prfH	RDBECOLIOPC02459	ykfJ-prfH	RDBECOLIGNC01451,RDBECOLIGNC03015	prfH;ykfJ								b0236;b0235	253467	254202		Ecocyc:TU0-12855 
RDBECOLITUC00145	frsA	RDBECOLIOPC01283	frsA	RDBECOLIGNC01078	frsA	RDBECOLIPMC00219	frsAp	256502		sigma70			b0239	256527	257771		Ecocyc:TU0-12857 
RDBECOLITUC00146	yafY-ykfBF-yafX-ykfGH-yafW-ykfI	RDBECOLIOPC03606	yafY-ykfBF-yafX-ykfGH-yafW-ykfI	RDBECOLIGNC03022,RDBECOLIGNC03021,RDBECOLIGNC03020,RDBECOLIGNC03019,RDBECOLIGNC03018,RDBECOLIGNC02572,RDBECOLIGNC03017,RDBECOLIGNC03016	yafY;ykfB;ykfF;yafX;ykfG;ykfH;yafW;ykfI								b0251;b0250;b0249;b0248;b0247;b4504;b0246;b0245	266553	263328		Ecocyc:TU0-12859 
RDBECOLITUC00147	ykfA-yafZ	RDBECOLIOPC03117	ykfA-yafZ	RDBECOLIGNC03024,RDBECOLIGNC03023	ykfA;yafZ								b0253;b0252	268960	267184		Ecocyc:TU0-12860 
RDBECOLITUC00148	perR	RDBECOLIOPC01018	perR	RDBECOLIGNC03025	perR								b0254	270182	269289		Ecocyc:TU0-12861 
RDBECOLITUC00149	None	RDBECOLIOPC00135	insNI1	RDBECOLIGNC03027,RDBECOLIGNC03026	insI1;insN	RDBECOLIPMC02410	insN-1p	270226		sigma38			b0256;b4587	270278	272190		Ecocyc:TU0-12862 
RDBECOLITUC00150	ykfC	RDBECOLIOPC01672	ykfC	RDBECOLIGNC03028	ykfC								b0258	272847	273992		Ecocyc:TU0-12863 
RDBECOLITUC00151	mmuPM	RDBECOLIOPC00726	mmuPM	RDBECOLIGNC03031,RDBECOLIGNC03030	mmuM;mmuP								b0261;b0260	275325	277647		Ecocyc:TU0-12864 
RDBECOLITUC00152	insA2B2AB2-afuBC	RDBECOLIOPC02380	insA2B2AB2-afuBC	RDBECOLIGNC03034,RDBECOLIGNC03033,RDBECOLIGNC02623,RDBECOLIGNC03032,RDBECOLIGNC02210	insA2;insB2;insAB2;afuB;afuC								b0265;b0264;b0263;b0262	279875	277756		Ecocyc:TU0-12865 
RDBECOLITUC00153	yagAB-insX	RDBECOLIOPC01332	yagAB-insX	RDBECOLIGNC02208,RDBECOLIGNC02209,RDBECOLIGNC02573	yagA;yagB;insX						RDBECOLITFC00203	XynR	b0267;b0266;b4505	281983	280114		Ecocyc:TU0-12866 
RDBECOLITUC00154	yagEF	RDBECOLIOPC00446	yagEF	RDBECOLIGNC03036,RDBECOLIGNC03035	yagF;yagE						RDBECOLITFC00203	XynR	b0269;b0268	282278	285168		Ecocyc:TU0-12867 
RDBECOLITUC00155	yagGH	RDBECOLIOPC01970	yagGH	RDBECOLIGNC03038,RDBECOLIGNC03037	yagH;yagG								b0271;b0270	285395	288399		Ecocyc:TU0-12868 
RDBECOLITUC00156	xynR	RDBECOLIOPC03405	argF-xynR	RDBECOLIGNC03039	xynR								b0272	289162	288404		Ecocyc:TU0-12869 
RDBECOLITUC00157	insA3B3AB3	RDBECOLIOPC00171	insA3B3AB3	RDBECOLIGNC03041,RDBECOLIGNC03040,RDBECOLIGNC02624	insA3;insB3;insAB3								b0275;b0274	291346	290649		Ecocyc:TU0-12870 
RDBECOLITUC00158	yagK	RDBECOLIOPC01612	yagK	RDBECOLIGNC03043	yagK	RDBECOLIPMC00699	yagKp6	293118		sigma70	RDBECOLITFC00048	RcdA	b0277	292948	292322		Ecocyc:TU0-12871 
RDBECOLITUC00159	yagML	RDBECOLIOPC00675	yagML	RDBECOLIGNC03045,RDBECOLIGNC03044	yagM;yagL								b0279;b0278	294799	293220		Ecocyc:TU0-12872 
RDBECOLITUC00160	yagN	RDBECOLIOPC02443	yagN	RDBECOLIGNC03046	yagN								b0280	295579	295139		Ecocyc:TU0-12873 
RDBECOLITUC00161	intF	RDBECOLIOPC01273	intF	RDBECOLIGNC03047	intF								b0281	297096	295696		Ecocyc:TU0-12874 
RDBECOLITUC00162	yagP	RDBECOLIOPC00395	yagP	RDBECOLIGNC03048	yagP								b0282	297791	297381		Ecocyc:TU0-12875 
RDBECOLITUC00163	paoABCD	RDBECOLIOPC02013	paoABCD	RDBECOLIGNC03052,RDBECOLIGNC03051,RDBECOLIGNC03050,RDBECOLIGNC03049	paoA;paoB;paoC;paoD								b0286;b0285;b0284;b0283	302573	297770		Ecocyc:TU0-12876 
RDBECOLITUC00164	ykgJ	RDBECOLIOPC01005	ykgJ	RDBECOLIGNC03054	ykgJ								b0288	304182	303853		Ecocyc:TU0-12877 
RDBECOLITUC00165	ecpBCDE	RDBECOLIOPC01007	ecpBCDE	RDBECOLIGNC03058,RDBECOLIGNC03057,RDBECOLIGNC03056,RDBECOLIGNC03055	ecpB;ecpC;ecpD;ecpE	RDBECOLIPMC03285	ecpBp1	310119					b0292;b0291;b0290;b0289	310026	304495		Ecocyc:TU0-12878 
RDBECOLITUC00166	ecpA	RDBECOLIOPC01661	ecpA	RDBECOLIGNC03059	ecpA	RDBECOLIPMC00707	ecpAp	310797		sigma70	RDBECOLITFC00115	MatA	b0293	310671	310084		Ecocyc:TU0-12879 
RDBECOLITUC00167	ecpR	RDBECOLIOPC00714	ecpR	RDBECOLIGNC03060	matA	RDBECOLIPMC00708	ecpRp	311393		sigma24	RDBECOLITFC00115	MatA	b0294	311336	310746		Ecocyc:TU0-12880 
RDBECOLITUC00168	ykgMO	RDBECOLIOPC02365	ykgMO	RDBECOLIGNC03062,RDBECOLIGNC02574	ykgM;ykgO	RDBECOLIPMC03270	ykgMp	312805		sigma70	RDBECOLITFC00035	Zur	b0296;b4506	312777	312374		Ecocyc:TU0-12881 
RDBECOLITUC00169	eaeH-insE1EF1F1	RDBECOLIOPC01320	eaeH-insE1EF1F1	RDBECOLIGNC03064,RDBECOLIGNC03063,RDBECOLIGNC02616,RDBECOLIGNC02052	insF1;insE1;insEF1;eaeH								b0299;b0298;b0297	314357	316453		Ecocyc:TU0-12882 
RDBECOLITUC00170	ykgA	RDBECOLIOPC00435	ykgA	RDBECOLIGNC03065	ykgA								b0300	317136	316450		Ecocyc:TU0-12883 
RDBECOLITUC00171	rclBC	RDBECOLIOPC02840	rclABC	RDBECOLIGNC03067,RDBECOLIGNC03066	rclB;rclC								b0303;b0301	318567	317726		Ecocyc:TU0-12884 
RDBECOLITUC00172	rclABC	RDBECOLIOPC02840	rclABC	RDBECOLIGNC03066,RDBECOLIGNC03067,RDBECOLIGNC03068	rclC;rclB;rclA	RDBECOLIPMC00719	rclAp	320215		sigma24	RDBECOLITFC00193	RclR	b0301;b0303;b0304	320001	317726		Ecocyc:TU0-12885 
RDBECOLITUC00173	rclR	RDBECOLIOPC00163	rclR	RDBECOLIGNC03069	rclR								b0305	320227	321081		Ecocyc:TU0-12886 
RDBECOLITUC00174	ykgEFG	RDBECOLIOPC01598	ykgEFG	RDBECOLIGNC03072,RDBECOLIGNC03071,RDBECOLIGNC03070	ykgG;ykgF;ykgE								b0308;b0307;b0306	321608	324453		Ecocyc:TU0-12887 
RDBECOLITUC00175	ykgH	RDBECOLIOPC00663	ykgH	RDBECOLIGNC03074	ykgH								b0310	325364	324696		Ecocyc:TU0-12888 
RDBECOLITUC00176	pdeL	RDBECOLIOPC03128	pdeL	RDBECOLIGNC01213	pdeL	RDBECOLIPMC03070	pdeLp1	332039		sigma70	RDBECOLITFC00057,RDBECOLITFC00057	Cra,Cra	b0315	332371	333459		Ecocyc:TU0-12889 
RDBECOLITUC00177	yahB	RDBECOLIOPC01261	yahB	RDBECOLIGNC03075	yahB								b0316	334433	333501		Ecocyc:TU0-12890 
RDBECOLITUC00178	yahC	RDBECOLIOPC00385	yahC	RDBECOLIGNC03076	yahC								b0317	335022	334525		Ecocyc:TU0-12891 
RDBECOLITUC00179	yahDEFG	RDBECOLIOPC02002	yahDEFG	RDBECOLIGNC03080,RDBECOLIGNC03079,RDBECOLIGNC03078,RDBECOLIGNC03077	yahG;yahF;yahE;yahD								b0321;b0320;b0319;b0318	335280	339743		Ecocyc:TU0-12892 
RDBECOLITUC00180	yahH	RDBECOLIOPC00995	yahH	RDBECOLIGNC02633	yahH								b0322	339769	340089		Ecocyc:TU0-12893 
RDBECOLITUC00181	yahIJ	RDBECOLIOPC00116	yahIJ	RDBECOLIGNC03082,RDBECOLIGNC03081	yahJ;yahI								b0324;b0323	340165	342507		Ecocyc:TU0-12894 
RDBECOLITUC00182	yahK	RDBECOLIOPC01646	yahK	RDBECOLIGNC03083	yahK								b0325	342884	343933		Ecocyc:TU0-12895 
RDBECOLITUC00183	yahL	RDBECOLIOPC00702	yahL	RDBECOLIGNC03084	yahL								b0326	344176	344991		Ecocyc:TU0-12896 
RDBECOLITUC00184	yahM	RDBECOLIOPC02347	yahM	RDBECOLIGNC03085	yahM								b0327	345404	345649		Ecocyc:TU0-12897 
RDBECOLITUC00185	mhpT	RDBECOLIOPC01304	mhpT	RDBECOLIGNC03095	mhpT	RDBECOLIPMC00313	mhpTp	375386		sigma32	RDBECOLITFC00038	NsrR	b0353	375459	376670		Ecocyc:TU0-12900 
RDBECOLITUC00186	yaiL	RDBECOLIOPC00424	yaiL	RDBECOLIGNC03096	yaiL								b0354	376772	377311		Ecocyc:TU0-12901 
RDBECOLITUC00187	frmRAB	RDBECOLIOPC01940	frmRAB	RDBECOLIGNC03098,RDBECOLIGNC02564,RDBECOLIGNC03097	frmR;frmA;frmB						RDBECOLITFC00086	FrmR	b0357;b0356;b0355	379881	377535		Ecocyc:TU0-12902 
RDBECOLITUC00188	yaiO	RDBECOLIOPC03574	yaiO	RDBECOLIGNC03099	yaiO								b0358	380842	380069		Ecocyc:TU0-12903 
RDBECOLITUC00189	insC1CD1D1	RDBECOLIOPC00153	insC1CD1D1	RDBECOLIGNC03101,RDBECOLIGNC03100,RDBECOLIGNC02627	insD1;insC1;insCD1								b0361;b0360	381351	382579		Ecocyc:TU0-12904 
RDBECOLITUC00190	yaiX	RDBECOLIOPC03574	yaiO	RDBECOLIGNC03102	yaiX								b4579	382872	380844		Ecocyc:TU0-12905 
RDBECOLITUC00191	yaiP	RDBECOLIOPC00651	yaiP	RDBECOLIGNC03103	yaiP								b0363	383935	382739		Ecocyc:TU0-12906 
RDBECOLITUC00192	hemB	RDBECOLIOPC02407	hemB	RDBECOLIGNC00421	hemB	RDBECOLIPMC02539	hemBp	389754		sigma70			b0369	389727	388753		Ecocyc:TU0-12908 
RDBECOLITUC00193	insE2F2EF2	RDBECOLIOPC01250	insE2F2EF2	RDBECOLIGNC03111,RDBECOLIGNC03110,RDBECOLIGNC02618	insE2;insF2;insEF2								b0373;b0372	392901	391739		Ecocyc:TU0-12910 
RDBECOLITUC00194	iprA	RDBECOLIOPC00374	iprA	RDBECOLIGNC03112	iprA								b0375	394506	395129		Ecocyc:TU0-12912 
RDBECOLITUC00195	iraP	RDBECOLIOPC03311	iraP	RDBECOLIGNC01230	iraP	RDBECOLIPMC03047	iraPp1	401319		sigma70	RDBECOLITFC00039,RDBECOLITFC00018	DksA,CsgD	b0382	401386	401646		Ecocyc:TU0-12913 
RDBECOLITUC00196	yaiI	RDBECOLIOPC00980	yaiI	RDBECOLIGNC03116	yaiI								b0387	405764	406222		Ecocyc:TU0-12914 
RDBECOLITUC00197	ppnP	RDBECOLIOPC00102	ppnP	RDBECOLIGNC02051	ppnP	RDBECOLIPMC03292	ppnPp	408148					b0391	408177	408461		Ecocyc:TU0-12915 
RDBECOLITUC00198	ykiA	RDBECOLIOPC01631	ykiA	RDBECOLIGNC03117	ykiA	RDBECOLIPMC02478	ykiAp	408574			RDBECOLITFC00095	RcsB-BglJ	b0392	408609	408950		Ecocyc:TU0-12916 
RDBECOLITUC00199	sbcDC	RDBECOLIOPC00691	sbcDC	RDBECOLIGNC01081,RDBECOLIGNC00915	sbcD;sbcC	RDBECOLIPMC03110	sbcDp	416977		sigma70	RDBECOLITFC00202	PhoB	b0398;b0397	416952	412607		Ecocyc:TU0-12917 
RDBECOLITUC00200	brnQ-proY	RDBECOLIOPC02329	brnQ-proY	RDBECOLIGNC03118,RDBECOLIGNC02059	proY;brnQ	RDBECOLIPMC03293	brnQp	419488					b0402;b0401	419591	422359		Ecocyc:TU0-12918 
RDBECOLITUC00201	yajD	RDBECOLIOPC01289	yajD	RDBECOLIGNC01084	yajD						RDBECOLITFC00135	Nac	b0410	430605	430952		Ecocyc:TU0-12919 
RDBECOLITUC00202	yajI	RDBECOLIOPC00414	yajI	RDBECOLIGNC02408	yajI								b0412	432851	432312		Ecocyc:TU0-12920 
