# License
#	# RegulonDB is free for academic/noncommercial use
# User is not entitled to change or erase data sets of the RegulonDB
# database or to eliminate copyright notices from RegulonDB. Furthermore,
# User is not entitled to expand RegulonDB or to integrate RegulonDB partly
# or as a whole into other databank systems, without prior written consent
# from CCG-UNAM.
# Please check the license at https://regulondb.ccg.unam.mx/manual/aboutUs/terms-conditions
# Citation
#	# Heladia Salgado, Socorro Gama-Castro, et al., RegulonDB v12.0: a comprehensive resource of transcriptional regulation in E. coli K-12,
# Nucleic Acids Research, 2023;, gkad1072, https://doi.org/10.1093/nar/gkad1072
# RegulonDB Release: 13.5
# Contact
#	email:regulondb@ccg.unam.mx
#Date:
#	01-28-2025
## Columns:
## (1) Operon ID
#(2) Operon name
## (3) First gene-position left
## (4) Last gene-position right
## (5) DNA strand where the operon is coded
## (6) Number of genes contained in the operon
## (7) Name or Blattner number of the gene(s) contained in the operon
## (8) Evidence that support the existence of the operon's TUs
## (9) Evidence confidence level (Confirmed, Strong, Weak)
1)operonId	2)operonName	3)firstGeneLeftPos	4)lastGeneRightPos	5)strand	6)numberOfGenes	7)operonGenes	8)operonEvidence	9)confidenceLevel 
RDBECOLIOPC00050	ileX	3215598	3215673	forward	1	ileX	[EXP-IDA-BOUNDARIES-DEFINED:W]	W 
RDBECOLIOPC00051	yliI	878742	879857	forward	1	yliI	[COMP-AINF:W]	W 
RDBECOLIOPC00052	yeaK	1873574	1874077	forward	1	yeaK	[COMP-AINF:W]	W 
RDBECOLIOPC00053	ybaQ	508218	508559	forward	1	ybaQ	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00054	yqgEF	3092937	3093916	forward	2	yqgE;yqgF	[COMP-AINF:W]	W 
RDBECOLIOPC00055	gcvB	2942696	2942901	forward	1	gcvB	[EXP-IDA-BOUNDARIES-DEFINED:W][EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]	W 
RDBECOLIOPC00056	yedI	2028449	2029366	reverse	1	yedI	[COMP-AINF:W]	W 
RDBECOLIOPC00057	yjiV	4574135	4576855	forward	1	yjiV	[COMP-AINF:W]	W 
RDBECOLIOPC00058	yhhM	3605251	3605610	reverse	1	yhhM	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00059	yhaH	3252304	3252669	forward	1	yhaH	[COMP-AINF:W]	W 
RDBECOLIOPC00060	ybdD	632182	632379	forward	1	ybdD	[COMP-AINF:W]	W 
RDBECOLIOPC00061	rcsA	2023968	2024591	forward	1	rcsA	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]	S 
RDBECOLIOPC00062	ybhP-clsB-ybhN	821542	824497	reverse	3	ybhP;clsB;ybhN	[COMP-AINF:W]	W 
RDBECOLIOPC00063	tcyP	1810934	1812325	forward	1	tcyP	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]	S 
RDBECOLIOPC00064	gadY	3664864	3664969	forward	1	gadY	[COMP-AINF-SINGLE-DIRECTON:W][EXP-IDA-BOUNDARIES-DEFINED:W][EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]	W 
RDBECOLIOPC00065	glpABC	2352647	2356711	forward	3	glpA;glpB;glpC	[EXP-IMP-POLAR-MUTATION:S][EXP-IDA-BOUNDARIES-DEFINED:W]	W 
RDBECOLIOPC00066	yecN-cmoAB	1952266	1954413	forward	3	yecN;cmoA;cmoB	[COMP-AINF:W]	W 
RDBECOLIOPC00067	yjhU	4519338	4520324	reverse	1	yjhU	[COMP-AINF:W]	W 
RDBECOLIOPC00068	ybhQ	824630	825040	forward	1	ybhQ	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00069	folB	3204221	3204589	reverse	1	folB	[COMP-AINF:W]	W 
RDBECOLIOPC00070	insE3EF3F3	566842	568004	forward	3	insE3;insEF3;insF3	[COMP-AINF:W]	W 
RDBECOLIOPC00071	phoE	259045	260100	reverse	1	phoE		 
RDBECOLIOPC00072	nfsB	604771	605424	reverse	1	nfsB	[COMP-AINF:W]	W 
RDBECOLIOPC00074	ydiJ-menI-ydiH	1764934	1768685	reverse	3	ydiJ;menI;ydiH	[COMP-AINF:W]	W 
RDBECOLIOPC00075	pepT	1185844	1187070	forward	1	pepT	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00076	btsT	4589129	4591279	reverse	1	btsT	[COMP-AINF:W]	W 
RDBECOLIOPC00077	argG	3318637	3319980	forward	1	argG	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00078	letAB	1916258	1920143	forward	2	letA;letB	[EXP-IMP-POLAR-MUTATION:S][COMP-AINF:W]	W 
RDBECOLIOPC00079	bdcA	4473340	4474053	reverse	1	bdcA	[COMP-AINF:W]	W 
RDBECOLIOPC00080	yaiT	390251	394418	forward	1	yaiT	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00081	ygiS	3166111	3167718	reverse	1	ygiS	[COMP-AINF:W]	W 
RDBECOLIOPC00082	fsr	503476	504696	reverse	1	fsr	[COMP-AINF:W]	W 
RDBECOLIOPC00083	yghA	3149662	3150546	forward	1	yghA	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00084	insH3	687997	688977	reverse	1	insH3	[COMP-AINF:W]	W 
RDBECOLIOPC00085	cnu	1704949	1705164	forward	1	cnu	[COMP-AINF:W]	W 
RDBECOLIOPC00086	tppB	1712769	1714271	forward	1	dtpA		 
RDBECOLIOPC00087	ulaABCDEF	4419980	4424386	forward	6	ulaA;ulaB;ulaC;ulaD;ulaE;ulaF	[EXP-IDA-BOUNDARIES-DEFINED:W][EXP-IEP-COREGULATION:W]	W 
RDBECOLIOPC00088	yeaVW	1883188	1885789	forward	2	yeaV;yeaW	[COMP-AINF:W]	W 
RDBECOLIOPC00089	yjfN	4416017	4416292	reverse	1	yjfN	[COMP-AINF:W]	W 
RDBECOLIOPC00090	ushA	504914	506566	forward	1	ushA	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00091	yghJ	3114550	3119112	reverse	1	yghJ	[COMP-AINF:W]	W 
RDBECOLIOPC00092	cof	467412	468230	forward	1	cof	[COMP-AINF:W]	W 
RDBECOLIOPC00093	hflD-purB	1190616	1192631	reverse	2	hflD;purB	[EXP-IDA-BOUNDARIES-DEFINED:W][EXP-IMP-POLAR-MUTATION:S]	W 
RDBECOLIOPC00094	holD-rimI-yjjG	4607803	4609323	forward	3	holD;rimI;yjjG	[COMP-AINF:W]	W 
RDBECOLIOPC00095	ynfA	1655347	1655673	reverse	1	ynfA	[COMP-AINF:W]	W 
RDBECOLIOPC00096	yqcC-truC-yqcA	2922535	2924113	reverse	3	yqcC;truC;yqcA	[COMP-AINF:W]	W 
RDBECOLIOPC00097	ydjF	1854096	1854854	reverse	1	ydjF	[COMP-AINF:W]	W 
RDBECOLIOPC00098	yjdF	4344929	4345558	reverse	1	yjdF	[COMP-AINF:W]	W 
RDBECOLIOPC00099	micA	2814802	2814874	forward	1	micA	[COMP-AINF-SINGLE-DIRECTON:W][EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]	W 
RDBECOLIOPC00100	speF-potE	716946	720822	reverse	3	speFL;speF;potE	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]	S 
RDBECOLIOPC00101	yqfE	3059381	3059611	reverse	1	yqfE	[COMP-AINF:W]	W 
RDBECOLIOPC00102	ppnP	408177	408461	forward	1	ppnP	[COMP-AINF:W]	W 
RDBECOLIOPC00103	malEFGH	4242531	4246419	reverse	4	malE;malF;malG;malH	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][EXP-IEP-COREGULATION:W]	W 
RDBECOLIOPC00104	yjiHG-iadA	4558354	4560680	reverse	3	yjiH;yjiG;iadA	[COMP-AINF:W]	W 
RDBECOLIOPC00105	nohD	580834	581379	forward	1	nohD	[COMP-AINF:W]	W 
RDBECOLIOPC00106	ynfO-ydfO	1636756	1637457	forward	2	ynfO;ydfO	[COMP-AINF:W]	W 
RDBECOLIOPC00107	uxaCA	3241827	3244741	reverse	2	uxaC;uxaA	[IC-ADJ-GENES-SAME-BIO-PROCESS:W][EXP-IDA-BOUNDARIES-DEFINED:W][EXP-IEP:W]	W 
RDBECOLIOPC00108	ydiY	1805325	1806083	reverse	1	ydiY	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00109	mltB	2824491	2825576	reverse	1	mltB	[COMP-AINF:W]	W 
RDBECOLIOPC00110	csrB	2924156	2924524	reverse	1	csrB	[EXP-IDA-BOUNDARIES-DEFINED:W][EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]	W 
RDBECOLIOPC00111	insH-9	3130214	3131194	forward	1	insH9	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00112	ydiE	1789613	1789804	forward	1	ydiE	[COMP-AINF:W]	W 
RDBECOLIOPC00113	dnaB	4264314	4265729	forward	1	dnaB	[COMP-AINF:W]	W 
RDBECOLIOPC00114	rdlC	1270393	1270460	forward	1	rdlC	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00115	yqeC	3014287	3015057	reverse	1	yqeC	[COMP-AINF:W]	W 
RDBECOLIOPC00116	yahIJ	340165	342507	forward	2	yahI;yahJ	[COMP-AINF:W]	W 
RDBECOLIOPC00117	fnr	1398774	1399526	reverse	1	fnr		 
RDBECOLIOPC00118	insC6CD6D6	4498272	4499500	forward	3	insC6;insCD6;insD6	[COMP-AINF:W]	W 
RDBECOLIOPC00119	ppiB-lpxH	553218	554437	reverse	2	ppiB;lpxH	[COMP-AINF:W]	W 
RDBECOLIOPC00120	acrR	485761	486408	forward	1	acrR		 
RDBECOLIOPC00121	ypjA	2778146	2782726	reverse	1	ypjA	[COMP-AINF:W]	W 
RDBECOLIOPC00122	mug	3214967	3215473	reverse	1	mug	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00123	C0293	1196711	1196782	forward	1	C0293	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]	S 
RDBECOLIOPC00124	murB-birA	4172057	4174047	forward	2	murB;birA	[COMP-AINF:W]	W 
RDBECOLIOPC00125	ydhC	1739911	1741122	forward	1	punC	[COMP-AINF:W]	W 
RDBECOLIOPC00126	ygeG	2991268	2991759	forward	1	ygeG	[COMP-AINF:W]	W 
RDBECOLIOPC00127	argI	4477307	4478311	reverse	1	argI		 
RDBECOLIOPC00128	ytfI	4437707	4438645	forward	1	ytfI	[COMP-AINF:W]	W 
RDBECOLIOPC00129	yddLKJ	1544384	1546028	reverse	3	yddL;yddK;yddJ	[COMP-AINF:W]	W 
RDBECOLIOPC00130	ydjM	1810211	1810801	forward	1	ydjM	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]	S 
RDBECOLIOPC00131	tomB-hha	480090	480708	reverse	2	tomB;hha	[COMP-AINF:W]	W 
RDBECOLIOPC00132	yfjD	2748774	2750060	forward	1	yfjD	[COMP-AINF:W]	W 
RDBECOLIOPC00133	grxD	1733754	1734101	reverse	1	grxD	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00134	frvABXR	4088107	4092823	reverse	4	frvA;frvB;frvX;frvR	[COMP-AINF:W]	W 
RDBECOLIOPC00135	insNI1	270278	272190	forward	2	insN;insI1	[COMP-AINF:W]	W 
RDBECOLIOPC00136	mdtUJI	1672820	1673709	reverse	3	mdtU;mdtJ;mdtI	[COMP-AINF:W]	W 
RDBECOLIOPC00137	allR	533011	533826	forward	1	allR	[EXP-IDA-BOUNDARIES-DEFINED:W]	W 
RDBECOLIOPC00138	rlhA	1506781	1508742	forward	1	rlhA	[COMP-AINF:W]	W 
RDBECOLIOPC00139	epmA	4382643	4383620	forward	1	epmA	[COMP-AINF:W]	W 
RDBECOLIOPC00140	pheP	601959	603335	forward	1	pheP	[EXP-IDA-BOUNDARIES-DEFINED:W]	W 
RDBECOLIOPC00141	ttdABT	3206463	3209487	forward	3	ttdA;ttdB;ttdT	[EXP-IEP-COREGULATION:W][EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][IC-ADJ-GENES-SAME-BIO-PROCESS:W]	W 
RDBECOLIOPC00142	yphFED	2675827	2679367	reverse	3	yphF;yphE;yphD	[COMP-AINF:W]	W 
RDBECOLIOPC00143	yajR	445302	446666	reverse	1	yajR	[COMP-AINF:W]	W 
RDBECOLIOPC00144	dacC	880727	881929	forward	1	dacC	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00145	yihF	4044199	4045629	forward	1	yihF	[COMP-AINF:W]	W 
RDBECOLIOPC00146	ydfV	1645897	1646202	forward	1	ydfV	[COMP-AINF:W]	W 
RDBECOLIOPC00147	ldhA	1441854	1442843	reverse	1	ldhA		 
RDBECOLIOPC00148	queD	2892214	2892579	forward	1	queD	[COMP-AINF:W]	W 
RDBECOLIOPC00149	ldrB	1269703	1269810	reverse	1	ldrB	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00150	pdxI	1474221	1475081	forward	1	pdxI	[COMP-AINF:W]	W 
RDBECOLIOPC00151	yjcO	4296436	4297125	reverse	1	yjcO	[COMP-AINF:W]	W 
RDBECOLIOPC00152	hda	2618075	2618776	reverse	1	hda	[EXP-IDA-BOUNDARIES-DEFINED:W][COMP-AINF:W]	W 
RDBECOLIOPC00153	insC1CD1D1	381351	382579	forward	3	insC1;insCD1;insD1	[COMP-AINF:W]	W 
RDBECOLIOPC00154	omrB	2976304	2976385	reverse	1	omrB	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][COMP-AINF:W]	W 
RDBECOLIOPC00155	yifL-dapF-yigA-xerC-yigB	3994522	3997899	forward	5	lptM;dapF;yigA;xerC;yigB	[COMP-AINF:W]	W 
RDBECOLIOPC00156	yaeH	183709	184095	reverse	1	yaeH	[COMP-AINF:W]	W 
RDBECOLIOPC00157	dgcZ	1622960	1623850	reverse	1	dgcZ	[EXP-IDA-BOUNDARIES-DEFINED:W][COMP-AINF:W]	W 
RDBECOLIOPC00158	mltF	2695801	2697357	forward	1	mltF	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00159	ygaVP	2797211	2798044	forward	2	ygaV;ygaP	[EXP-IEP-COREGULATION:W][IC-ADJ-GENES-SAME-BIO-PROCESS:W][COMP-AINF:W]	W 
RDBECOLIOPC00160	mak	410144	411052	forward	1	mak	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00161	racR	1419765	1420241	reverse	1	racR	[COMP-AINF:W]	W 
RDBECOLIOPC00162	borD	578600	578893	reverse	1	borD		 
RDBECOLIOPC00163	rclR	320227	321081	forward	1	rclR	[COMP-AINF:W]	W 
RDBECOLIOPC00164	intZ	2558858	2560066	forward	1	intZ	[COMP-AINF:W]	W 
RDBECOLIOPC00165	alaE	2799164	2799613	forward	1	alaE	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00166	yieH	3896774	3897439	forward	1	yieH	[COMP-AINF:W]	W 
RDBECOLIOPC00167	dcm-vsr	2030448	2032317	reverse	2	dcm;vsr		 
RDBECOLIOPC00168	abpAB	2761351	2765153	reverse	2	abpA;abpB	[COMP-AINF:W]	W 
RDBECOLIOPC00169	yiiX	4127286	4127894	reverse	1	yiiX	[COMP-AINF:W]	W 
RDBECOLIOPC00170	yhdT-panF-prmA	3407375	3409951	forward	3	yhdT;panF;prmA	[EXP-IDA-BOUNDARIES-DEFINED:W][EXP-IMP-POLAR-MUTATION:S]	W 
RDBECOLIOPC00171	insA3B3AB3	290649	291346	reverse	3	insAB3;insA3;insB3	[COMP-AINF:W]	W 
RDBECOLIOPC00172	tpke70	2496194	2496629	reverse	1	tpke70	[COMP-AINF:W]	W 
RDBECOLIOPC00173	yfaL	2340417	2344169	reverse	1	yfaL	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00174	mcbR	1520262	1520927	forward	1	mcbR	[COMP-AINF:W]	W 
RDBECOLIOPC00175	yicL	3838248	3839171	forward	1	yicL	[COMP-AINF:W]	W 
RDBECOLIOPC00176	metE	4013053	4015314	forward	1	metE		 
RDBECOLIOPC00177	satP	9928	10494	reverse	1	satP	[COMP-AINF:W]	W 
RDBECOLIOPC00178	yfiM	2724128	2724451	forward	1	yfiM	[COMP-AINF:W]	W 
RDBECOLIOPC00179	envR	3412803	3413465	reverse	1	envR	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00180	yihR	4069475	4070401	reverse	1	yihR	[COMP-AINF:W]	W 
RDBECOLIOPC00181	glnK-amtB	472598	474252	forward	2	glnK;amtB	[EXP-IDA-BOUNDARIES-DEFINED:W]	W 
RDBECOLIOPC00182	lafU	250072	250827	forward	1	lafU	[COMP-AINF:W]	W 
RDBECOLIOPC00183	sokX	2887353	2887411	forward	1	sokX	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00184	prpR	346857	348443	reverse	1	prpR		 
RDBECOLIOPC00185	yfcUSRQPO	2449228	2455001	reverse	6	yfcU;yfcS;yfcR;yfcQ;yfcP;yfcO	[COMP-AINF:W]	W 
RDBECOLIOPC00186	yeaM	1874755	1875576	reverse	1	nimR	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00187	trmL	3781215	3781688	forward	1	trmL	[COMP-AINF:W]	W 
RDBECOLIOPC00188	mokB	1491962	1492129	reverse	1	mokB	[COMP-AINF:W]	W 
RDBECOLIOPC00189	kbl-tdh	3790320	3792551	reverse	2	kbl;tdh		 
RDBECOLIOPC00190	sseB	2654157	2654933	reverse	1	sseB	[COMP-AINF:W]	W 
RDBECOLIOPC00191	bioH	3544074	3544844	reverse	1	bioH	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00192	bioP	4011076	4011975	forward	1	bioP	[COMP-AINF:W]	W 
RDBECOLIOPC00193	ymgE	1244728	1244982	forward	1	ymgE	[COMP-AINF:W]	W 
RDBECOLIOPC00194	yaeQ-arfB-nlpE	214291	215979	forward	3	yaeQ;arfB;nlpE	[COMP-AINF:W]	W 
RDBECOLIOPC00195	nhaB	1233176	1234717	reverse	1	nhaB	[COMP-AINF:W]	W 
RDBECOLIOPC00196	cspG	1051461	1051673	forward	1	cspG		 
RDBECOLIOPC00197	yfbL	2385860	2386831	forward	1	yfbL	[COMP-AINF:W]	W 
RDBECOLIOPC00198	ynaE	1433991	1434224	reverse	1	ynaE	[COMP-AINF:W]	W 
RDBECOLIOPC00199	yciN	1330417	1330668	reverse	1	yciN	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00200	ybjG	882792	883388	reverse	1	ybjG		 
RDBECOLIOPC00201	tag-yiaC	3713092	3714092	forward	2	tag;yiaC	[COMP-AINF:W]	W 
RDBECOLIOPC00202	maeB	2576098	2578377	reverse	1	maeB	[COMP-AINF:W]	W 
RDBECOLIOPC00203	yghZ	3147897	3148937	forward	1	gpr	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00204	guaBA	2630958	2634070	reverse	2	guaB;guaA	[EXP-IDA-BOUNDARIES-DEFINED:W][EXP-IMP-POLAR-MUTATION:S][IC-ADJ-GENES-SAME-BIO-PROCESS:W]	W 
RDBECOLIOPC00205	yieP-hsrA	3939185	3941327	reverse	2	yieP;hsrA	[COMP-AINF:W]	W 
RDBECOLIOPC00206	yadE	145081	146310	forward	1	yadE	[COMP-AINF:W]	W 
RDBECOLIOPC00207	icdC	1211413	1211577	forward	1	icdC	[COMP-AINF:W]	W 
RDBECOLIOPC00208	secMA-mutT	107705	111433	forward	3	secM;secA;mutT	[EXP-IMP-POLAR-MUTATION:S]	S 
RDBECOLIOPC00209	mqo	2305108	2306754	reverse	1	mqo	[COMP-AINF:W]	W 
RDBECOLIOPC00210	uspE	1397672	1398622	reverse	1	uspE	[COMP-AINF:W]	W 
RDBECOLIOPC00211	ycbC	972622	973401	reverse	1	elyC	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00212	prlC-yhiQ	3642380	3645182	reverse	2	prlC;rsmJ	[EXP-IEP-COREGULATION:W][COMP-AINF:W]	W 
RDBECOLIOPC00213	ligA-ypeB	2527941	2530176	reverse	2	ligA;ypeB	[COMP-AINF:W]	W 
RDBECOLIOPC00214	yicJI	3832219	3835929	reverse	2	yicJ;yicI	[EXP-IDA-BOUNDARIES-DEFINED:W]	W 
RDBECOLIOPC00215	yfeR	2525930	2526856	reverse	1	yfeR	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00216	nfo	2250840	2251697	forward	1	nfo		 
RDBECOLIOPC00217	yidE	3864612	3866273	reverse	1	yidE	[COMP-AINF:W]	W 
RDBECOLIOPC00218	kefFC	47246	49631	forward	2	kefF;kefC	[COMP-AINF:W]	W 
RDBECOLIOPC00219	ycfJ	1167599	1168138	forward	1	ycfJ	[COMP-AINF:W]	W 
