# License
#	# RegulonDB is free for academic/noncommercial use
# User is not entitled to change or erase data sets of the RegulonDB
# database or to eliminate copyright notices from RegulonDB. Furthermore,
# User is not entitled to expand RegulonDB or to integrate RegulonDB partly
# or as a whole into other databank systems, without prior written consent
# from CCG-UNAM.
# Please check the license at https://regulondb.ccg.unam.mx/manual/aboutUs/terms-conditions
# Citation
#	# Heladia Salgado, Socorro Gama-Castro, et al., RegulonDB v12.0: a comprehensive resource of transcriptional regulation in E. coli K-12,
# Nucleic Acids Research, 2023;, gkad1072, https://doi.org/10.1093/nar/gkad1072
# RegulonDB Release: 13.5
# Contact
#	email:regulondb@ccg.unam.mx
#Date:
#	01-28-2025
## Columns:
## (1) regulatorId. Regulator identifier
## (2) regulatorName. Regulator Name
## (3) regulatorGeneName. Gene(s) coding for the TF
## (4) regulatedId. Regulator ID regulated by the Regulator (regulated Regulator)
## (5) regulatedName. Regulator regulated by the Regulator (regulated Regulator)
## (6) function. Regulatory Function of the Regulator on the regulated Gene (+ activator, - repressor, -+ dual, ? unknown)
## (7) confidenceLevel. RI confidence level based on its evidence (Values: Confirmed[C], Strong[S], Weak[W], Unknown[?])
1)regulatorId	2)regulatorName	3)RegulatorGeneName	4)regulatedId	5)regulatedName	6)function	7)confidenceLevel 
RDBECOLIPDC04281	RyhB	ryhB	RDBECOLITFC00074	MarA	-	W 
RDBECOLIPDC04281	RyhB	ryhB	RDBECOLITFC00093	Fur	-	S 
RDBECOLIPDC04647	UhpU	uhpU	RDBECOLITFC00190	LrhA	-	S 
RDBECOLIPDC04664	AmeF	ameF	RDBECOLITFC00215	MazE	+	W 
RDBECOLIRCC00078	carbon storage regulator CsrA	csrA	RDBECOLITFC00021	SdiA	-	C 
RDBECOLIRCC00078	carbon storage regulator CsrA	csrA	RDBECOLITFC00084	NhaR	-	S 
RDBECOLIRCC00078	carbon storage regulator CsrA	csrA	RDBECOLITFC00181	EvgA	-	C 
RDBECOLIRCC00120	ATP-dependent RNA helicase DeaD	deaD	RDBECOLITFC00021	SdiA	+	W 
RDBECOLIRCC00120	ATP-dependent RNA helicase DeaD	deaD	RDBECOLITFC00100	UvrY	+	W 
RDBECOLIRCC00120	ATP-dependent RNA helicase DeaD	deaD	RDBECOLITFC00143	MntR	+	W 
RDBECOLITFC00001	ExuR	exuR	RDBECOLITFC00001	ExuR	-	S 
RDBECOLITFC00001	ExuR	exuR	RDBECOLITFC00142	UxuR	-	W 
RDBECOLITFC00002	AsnC	asnC	RDBECOLITFC00002	AsnC	-	W 
RDBECOLITFC00003	Dan	ttdR	RDBECOLITFC00003	Dan	+	S 
RDBECOLITFC00005	AgaR	agaR	RDBECOLITFC00005	AgaR	-	C 
RDBECOLITFC00007	DgoR	dgoR	RDBECOLITFC00007	DgoR	-	C 
RDBECOLITFC00008	TdcA	tdcA	RDBECOLITFC00008	TdcA	+	S 
RDBECOLITFC00009	NarL	narL	RDBECOLITFC00025	DcuR	-	S 
RDBECOLITFC00009	NarL	narL	RDBECOLITFC00119	CaiF	-	W 
RDBECOLITFC00009	NarL	narL	RDBECOLITFC00173	DpiA	-	W 
RDBECOLITFC00009	NarL	narL	RDBECOLITFC00213	NikR	-	W 
RDBECOLITFC00012	TdcR	tdcR	RDBECOLITFC00008	TdcA	+	S 
RDBECOLITFC00013	FliZ	fliZ	RDBECOLITFC00018	CsgD	-	S 
RDBECOLITFC00013	FliZ	fliZ	RDBECOLITFC00029	MlrA	-	C 
RDBECOLITFC00013	FliZ	fliZ	RDBECOLITFC00077	GadE	-	C 
RDBECOLITFC00014	Lrp	lrp	RDBECOLITFC00011	ZntR	+	W 
RDBECOLITFC00014	Lrp	lrp	RDBECOLITFC00014	Lrp	-	S 
RDBECOLITFC00014	Lrp	lrp	RDBECOLITFC00023	GadW	-+	W 
RDBECOLITFC00014	Lrp	lrp	RDBECOLITFC00043	YeiL	+	W 
RDBECOLITFC00014	Lrp	lrp	RDBECOLITFC00062	AidB	-	S 
RDBECOLITFC00014	Lrp	lrp	RDBECOLITFC00066	StpA	+	S 
RDBECOLITFC00014	Lrp	lrp	RDBECOLITFC00070	Cbl	+	W 
RDBECOLITFC00014	Lrp	lrp	RDBECOLITFC00078	TyrR	-+	W 
RDBECOLITFC00014	Lrp	lrp	RDBECOLITFC00094	QseB	-	W 
RDBECOLITFC00014	Lrp	lrp	RDBECOLITFC00109	ArgR	-+	W 
RDBECOLITFC00014	Lrp	lrp	RDBECOLITFC00118	YgiV	-+	W 
RDBECOLITFC00014	Lrp	lrp	RDBECOLITFC00135	Nac	+	W 
RDBECOLITFC00014	Lrp	lrp	RDBECOLITFC00136	SlyA	-+	W 
RDBECOLITFC00014	Lrp	lrp	RDBECOLITFC00152	CysB	-	W 
RDBECOLITFC00014	Lrp	lrp	RDBECOLITFC00155	AlaS	-	W 
RDBECOLITFC00014	Lrp	lrp	RDBECOLITFC00163	MalT	+	W 
RDBECOLITFC00014	Lrp	lrp	RDBECOLITFC00190	LrhA	+	S 
RDBECOLITFC00014	Lrp	lrp	RDBECOLITFC00201	SoxS	+	W 
RDBECOLITFC00014	Lrp	lrp	RDBECOLITFC00212	LeuO	-+	W 
RDBECOLITFC00014	Lrp	lrp	RDBECOLITFC00225	RpoN	-	W 
RDBECOLITFC00014	Lrp	lrp	RDBECOLITFC00227	YciT	+	W 
RDBECOLITFC00015	CynR	cynR	RDBECOLITFC00015	CynR	-	S 
RDBECOLITFC00016	MqsA	mqsA	RDBECOLITFC00016	MqsA	-	C 
RDBECOLITFC00016	MqsA	mqsA	RDBECOLITFC00018	CsgD	-	S 
RDBECOLITFC00017	DnaA	dnaA	RDBECOLITFC00017	DnaA	-+	C 
RDBECOLITFC00018	CsgD	csgD	RDBECOLITFC00013	FliZ	-	S 
RDBECOLITFC00018	CsgD	csgD	RDBECOLITFC00018	CsgD	+	S 
RDBECOLITFC00020	H-NS	hns	RDBECOLITFC00003	Dan	-	W 
RDBECOLITFC00020	H-NS	hns	RDBECOLITFC00013	FliZ	+	W 
RDBECOLITFC00020	H-NS	hns	RDBECOLITFC00014	Lrp	-	S 
RDBECOLITFC00020	H-NS	hns	RDBECOLITFC00018	CsgD	-	S 
RDBECOLITFC00020	H-NS	hns	RDBECOLITFC00020	H-NS	-	C 
RDBECOLITFC00020	H-NS	hns	RDBECOLITFC00023	GadW	-	S 
RDBECOLITFC00020	H-NS	hns	RDBECOLITFC00042	RcsB	-	S 
RDBECOLITFC00020	H-NS	hns	RDBECOLITFC00046	CspA	-	S 
RDBECOLITFC00020	H-NS	hns	RDBECOLITFC00050	GutM	+	W 
RDBECOLITFC00020	H-NS	hns	RDBECOLITFC00066	StpA	-	S 
RDBECOLITFC00020	H-NS	hns	RDBECOLITFC00073	HprR	-	W 
RDBECOLITFC00020	H-NS	hns	RDBECOLITFC00077	GadE	-	S 
RDBECOLITFC00020	H-NS	hns	RDBECOLITFC00084	NhaR	-	W 
RDBECOLITFC00020	H-NS	hns	RDBECOLITFC00091	HdfR	-	S 
RDBECOLITFC00020	H-NS	hns	RDBECOLITFC00096	AppY	-	S 
RDBECOLITFC00020	H-NS	hns	RDBECOLITFC00101	YjjQ	-	S 
RDBECOLITFC00020	H-NS	hns	RDBECOLITFC00116	BolA	-	W 
RDBECOLITFC00020	H-NS	hns	RDBECOLITFC00119	CaiF	-	W 
RDBECOLITFC00020	H-NS	hns	RDBECOLITFC00141	YdeO	-	S 
RDBECOLITFC00020	H-NS	hns	RDBECOLITFC00149	SrlR	+	W 
RDBECOLITFC00020	H-NS	hns	RDBECOLITFC00176	AdiY	-	S 
RDBECOLITFC00020	H-NS	hns	RDBECOLITFC00179	PdeL	-	W 
RDBECOLITFC00020	H-NS	hns	RDBECOLITFC00180	AscG	-	W 
RDBECOLITFC00020	H-NS	hns	RDBECOLITFC00181	EvgA	-	S 
RDBECOLITFC00020	H-NS	hns	RDBECOLITFC00187	GadX	-	S 
RDBECOLITFC00020	H-NS	hns	RDBECOLITFC00204	CadC	-	S 
RDBECOLITFC00020	H-NS	hns	RDBECOLITFC00212	LeuO	-	C 
RDBECOLITFC00020	H-NS	hns	RDBECOLITFC00215	MazE	+	W 
RDBECOLITFC00021	SdiA	sdiA	RDBECOLITFC00023	GadW	+	W 
RDBECOLITFC00022	AraC	araC	RDBECOLITFC00022	AraC	-+	C 
RDBECOLITFC00023	GadW	gadW	RDBECOLITFC00023	GadW	-	W 
RDBECOLITFC00023	GadW	gadW	RDBECOLITFC00077	GadE	+	W 
RDBECOLITFC00023	GadW	gadW	RDBECOLITFC00187	GadX	-+	S 
RDBECOLITFC00024	FucR	fucR	RDBECOLITFC00024	FucR	+	W 
RDBECOLITFC00025	DcuR	dcuR	RDBECOLITFC00173	DpiA	+	S 
RDBECOLITFC00027	NagC	nagC	RDBECOLITFC00027	NagC	-	C 
RDBECOLITFC00027	NagC	nagC	RDBECOLITFC00041	ChbR	-	C 
RDBECOLITFC00027	NagC	nagC	RDBECOLITFC00112	CreB	-	W 
RDBECOLITFC00029	MlrA	mlrA	RDBECOLITFC00018	CsgD	+	S 
RDBECOLITFC00029	MlrA	mlrA	RDBECOLITFC00204	CadC	+	S 
RDBECOLITFC00030	MprA	mprA	RDBECOLITFC00030	MprA	-	S 
RDBECOLITFC00032	TrpR	trpR	RDBECOLITFC00032	TrpR	-	S 
RDBECOLITFC00033	GalS	galS	RDBECOLITFC00033	GalS	-	W 
RDBECOLITFC00033	GalS	galS	RDBECOLITFC00088	GalR	-	W 
RDBECOLITFC00034	ModE	modE	RDBECOLITFC00009	NarL	+	S 
RDBECOLITFC00037	LldR	lldR	RDBECOLITFC00023	GadW	+	C 
RDBECOLITFC00037	LldR	lldR	RDBECOLITFC00037	LldR	-+	C 
RDBECOLITFC00038	NsrR	nsrR	RDBECOLITFC00013	FliZ	-	W 
RDBECOLITFC00038	NsrR	nsrR	RDBECOLITFC00014	Lrp	-	W 
RDBECOLITFC00038	NsrR	nsrR	RDBECOLITFC00072	FhlA	-	W 
RDBECOLITFC00038	NsrR	nsrR	RDBECOLITFC00111	NorR	-	W 
RDBECOLITFC00038	NsrR	nsrR	RDBECOLITFC00127	FeaR	-	W 
RDBECOLITFC00038	NsrR	nsrR	RDBECOLITFC00222	DsdC	-	W 
RDBECOLITFC00039	DksA	dksA	RDBECOLITFC00039	DksA	-	W 
RDBECOLITFC00039	DksA	dksA	RDBECOLITFC00053	Fis	-	W 
RDBECOLITFC00039	DksA	dksA	RDBECOLITFC00107	SgrR	+	W 
RDBECOLITFC00039	DksA	dksA	RDBECOLITFC00126	FadR	-	W 
RDBECOLITFC00040	OmpR	ompR	RDBECOLITFC00018	CsgD	+	C 
RDBECOLITFC00040	OmpR	ompR	RDBECOLITFC00051	Rob	+	S 
RDBECOLITFC00040	OmpR	ompR	RDBECOLITFC00065	AcrR	+	S 
RDBECOLITFC00040	OmpR	ompR	RDBECOLITFC00116	BolA	-	S 
RDBECOLITFC00040	OmpR	ompR	RDBECOLITFC00158	PdhR	+	S 
RDBECOLITFC00040	OmpR	ompR	RDBECOLITFC00204	CadC	-	S 
RDBECOLITFC00041	ChbR	chbR	RDBECOLITFC00041	ChbR	-+	S 
RDBECOLITFC00042	RcsB	rcsB	RDBECOLITFC00141	YdeO	+	W 
RDBECOLITFC00042	RcsB	rcsB	RDBECOLITFC00187	GadX	-	C 
RDBECOLITFC00043	YeiL	yeiL	RDBECOLITFC00043	YeiL	+	W 
RDBECOLITFC00045	AccB	accB	RDBECOLITFC00045	AccB	-	W 
RDBECOLITFC00046	CspA	cspA	RDBECOLITFC00020	H-NS	+	S 
RDBECOLITFC00048	RcdA	rcdA	RDBECOLITFC00018	CsgD	+	S 
RDBECOLITFC00048	RcdA	rcdA	RDBECOLITFC00048	RcdA	+	C 
RDBECOLITFC00049	Ada	ada	RDBECOLITFC00049	Ada	-+	C 
RDBECOLITFC00049	Ada	ada	RDBECOLITFC00062	AidB	+	S 
RDBECOLITFC00050	GutM	gutM	RDBECOLITFC00050	GutM	+	W 
RDBECOLITFC00050	GutM	gutM	RDBECOLITFC00149	SrlR	+	W 
RDBECOLITFC00051	Rob	rob	RDBECOLITFC00051	Rob	-	C 
RDBECOLITFC00051	Rob	rob	RDBECOLITFC00074	MarA	+	C 
RDBECOLITFC00051	Rob	rob	RDBECOLITFC00125	MarR	+	C 
RDBECOLITFC00052	FlhDC	flhD;flhC	RDBECOLITFC00013	FliZ	+	C 
RDBECOLITFC00052	FlhDC	flhD;flhC	RDBECOLITFC00191	IclR	+	C 
RDBECOLITFC00053	Fis	fis	RDBECOLITFC00017	DnaA	-	C 
RDBECOLITFC00053	Fis	fis	RDBECOLITFC00020	H-NS	+	S 
RDBECOLITFC00053	Fis	fis	RDBECOLITFC00046	CspA	+	C 
RDBECOLITFC00053	Fis	fis	RDBECOLITFC00053	Fis	-	C 
RDBECOLITFC00053	Fis	fis	RDBECOLITFC00074	MarA	+	C 
RDBECOLITFC00053	Fis	fis	RDBECOLITFC00090	XylR	-	W 
RDBECOLITFC00053	Fis	fis	RDBECOLITFC00125	MarR	+	C 
RDBECOLITFC00053	Fis	fis	RDBECOLITFC00153	NtrC	+	C 
RDBECOLITFC00053	Fis	fis	RDBECOLITFC00187	GadX	-	W 
RDBECOLITFC00053	Fis	fis	RDBECOLITFC00189	CRP	-	C 
RDBECOLITFC00053	Fis	fis	RDBECOLITFC00200	GlcC	-	S 
RDBECOLITFC00053	Fis	fis	RDBECOLITFC00215	MazE	+	C 
RDBECOLITFC00054	PgrR	pgrR	RDBECOLITFC00078	TyrR	-	S 
RDBECOLITFC00055	IscR	iscR	RDBECOLITFC00055	IscR	-	C 
RDBECOLITFC00056	BetI	betI	RDBECOLITFC00056	BetI	-	C 
RDBECOLITFC00057	Cra	cra	RDBECOLITFC00018	CsgD	+	S 
RDBECOLITFC00057	Cra	cra	RDBECOLITFC00056	BetI	+	W 
RDBECOLITFC00057	Cra	cra	RDBECOLITFC00074	MarA	-	S 
RDBECOLITFC00057	Cra	cra	RDBECOLITFC00125	MarR	-	S 
RDBECOLITFC00057	Cra	cra	RDBECOLITFC00158	PdhR	-	C 
RDBECOLITFC00057	Cra	cra	RDBECOLITFC00179	PdeL	-	C 
RDBECOLITFC00057	Cra	cra	RDBECOLITFC00189	CRP	+	C 
RDBECOLITFC00057	Cra	cra	RDBECOLITFC00200	GlcC	-	W 
RDBECOLITFC00057	Cra	cra	RDBECOLITFC00213	NikR	+	W 
RDBECOLITFC00058	RbsR	rbsR	RDBECOLITFC00058	RbsR	-	C 
RDBECOLITFC00060	MngR	mngR	RDBECOLITFC00060	MngR	-	C 
RDBECOLITFC00062	AidB	aidB	RDBECOLITFC00062	AidB	-	S 
RDBECOLITFC00063	TorR	torR	RDBECOLITFC00063	TorR	-	C 
RDBECOLITFC00063	TorR	torR	RDBECOLITFC00077	GadE	+	W 
RDBECOLITFC00063	TorR	torR	RDBECOLITFC00187	GadX	-+	W 
RDBECOLITFC00064	PrpR	prpR	RDBECOLITFC00064	PrpR	-	W 
RDBECOLITFC00065	AcrR	acrR	RDBECOLITFC00065	AcrR	-	C 
RDBECOLITFC00065	AcrR	acrR	RDBECOLITFC00071	SoxR	-	S 
RDBECOLITFC00065	AcrR	acrR	RDBECOLITFC00074	MarA	-	S 
RDBECOLITFC00065	AcrR	acrR	RDBECOLITFC00125	MarR	-	S 
RDBECOLITFC00065	AcrR	acrR	RDBECOLITFC00201	SoxS	-	S 
RDBECOLITFC00066	StpA	stpA	RDBECOLITFC00066	StpA	-	W 
RDBECOLITFC00066	StpA	stpA	RDBECOLITFC00212	LeuO	-	W 
RDBECOLITFC00067	RelB	relB	RDBECOLITFC00067	RelB	-	C 
RDBECOLITFC00068	IdnR	idnR	RDBECOLITFC00068	IdnR	+	W 
RDBECOLITFC00071	SoxR	soxR	RDBECOLITFC00071	SoxR	-	C 
RDBECOLITFC00071	SoxR	soxR	RDBECOLITFC00201	SoxS	+	C 
RDBECOLITFC00072	FhlA	fhlA	RDBECOLITFC00072	FhlA	+	C 
RDBECOLITFC00072	FhlA	fhlA	RDBECOLITFC00209	HyfR	+	W 
RDBECOLITFC00073	HprR	hprR	RDBECOLITFC00120	CusR	+	S 
RDBECOLITFC00074	MarA	marA	RDBECOLITFC00047	DecR	+	W 
RDBECOLITFC00074	MarA	marA	RDBECOLITFC00051	Rob	-	C 
RDBECOLITFC00074	MarA	marA	RDBECOLITFC00074	MarA	+	C 
RDBECOLITFC00074	MarA	marA	RDBECOLITFC00125	MarR	+	C 
RDBECOLITFC00074	MarA	marA	RDBECOLITFC00195	PutA	+	W 
RDBECOLITFC00075	ZraR	zraR	RDBECOLITFC00001	ExuR	+	S 
RDBECOLITFC00075	ZraR	zraR	RDBECOLITFC00023	GadW	+	S 
RDBECOLITFC00075	ZraR	zraR	RDBECOLITFC00046	CspA	-	W 
RDBECOLITFC00075	ZraR	zraR	RDBECOLITFC00075	ZraR	+	C 
RDBECOLITFC00076	ArgP	argP	RDBECOLITFC00017	DnaA	+	S 
RDBECOLITFC00076	ArgP	argP	RDBECOLITFC00076	ArgP	-	W 
RDBECOLITFC00077	GadE	gadE	RDBECOLITFC00014	Lrp	+	W 
RDBECOLITFC00077	GadE	gadE	RDBECOLITFC00023	GadW	+	S 
RDBECOLITFC00077	GadE	gadE	RDBECOLITFC00077	GadE	+	W 
RDBECOLITFC00077	GadE	gadE	RDBECOLITFC00187	GadX	+	S 
RDBECOLITFC00078	TyrR	tyrR	RDBECOLITFC00078	TyrR	-	W 
RDBECOLITFC00079	CecR	cecR	RDBECOLITFC00079	CecR	-	C 
RDBECOLITFC00080	GlaR	glaR	RDBECOLITFC00003	Dan	-	S 
RDBECOLITFC00080	GlaR	glaR	RDBECOLITFC00023	GadW	-	S 
RDBECOLITFC00080	GlaR	glaR	RDBECOLITFC00075	ZraR	-	S 
RDBECOLITFC00080	GlaR	glaR	RDBECOLITFC00101	YjjQ	-	S 
RDBECOLITFC00080	GlaR	glaR	RDBECOLITFC00118	YgiV	-	S 
RDBECOLITFC00080	GlaR	glaR	RDBECOLITFC00141	YdeO	+	S 
RDBECOLITFC00080	GlaR	glaR	RDBECOLITFC00146	GcvA	-	S 
RDBECOLITFC00080	GlaR	glaR	RDBECOLITFC00158	PdhR	+	S 
RDBECOLITFC00080	GlaR	glaR	RDBECOLITFC00171	YqhC	-	S 
RDBECOLITFC00080	GlaR	glaR	RDBECOLITFC00187	GadX	+	S 
RDBECOLITFC00080	GlaR	glaR	RDBECOLITFC00204	CadC	+	S 
RDBECOLITFC00082	PlaR	plaR	RDBECOLITFC00082	PlaR	-	C 
RDBECOLITFC00083	NimR	nimR	RDBECOLITFC00083	NimR	-	C 
RDBECOLITFC00084	NhaR	nhaR	RDBECOLITFC00084	NhaR	+	S 
RDBECOLITFC00086	FrmR	frmR	RDBECOLITFC00086	FrmR	-	S 
RDBECOLITFC00087	MelR	melR	RDBECOLITFC00087	MelR	-+	C 
RDBECOLITFC00088	GalR	galR	RDBECOLITFC00033	GalS	-	W 
RDBECOLITFC00088	GalR	galR	RDBECOLITFC00088	GalR	-	S 
RDBECOLITFC00090	XylR	xylR	RDBECOLITFC00022	AraC	-	S 
RDBECOLITFC00090	XylR	xylR	RDBECOLITFC00090	XylR	+	S 
RDBECOLITFC00092	HcaR	hcaR	RDBECOLITFC00092	HcaR	-	S 
RDBECOLITFC00093	Fur	fur	RDBECOLITFC00021	SdiA	+	S 
RDBECOLITFC00093	Fur	fur	RDBECOLITFC00071	SoxR	-	W 
RDBECOLITFC00093	Fur	fur	RDBECOLITFC00092	HcaR	-	S 
RDBECOLITFC00093	Fur	fur	RDBECOLITFC00093	Fur	-	S 
RDBECOLITFC00093	Fur	fur	RDBECOLITFC00099	NfeR	-	S 
RDBECOLITFC00093	Fur	fur	RDBECOLITFC00109	ArgR	-	S 
RDBECOLITFC00093	Fur	fur	RDBECOLITFC00121	PurR	-	W 
RDBECOLITFC00093	Fur	fur	RDBECOLITFC00128	FNR	-	W 
RDBECOLITFC00093	Fur	fur	RDBECOLITFC00135	Nac	-	W 
RDBECOLITFC00093	Fur	fur	RDBECOLITFC00153	NtrC	+	W 
RDBECOLITFC00093	Fur	fur	RDBECOLITFC00201	SoxS	-	W 
RDBECOLITFC00093	Fur	fur	RDBECOLITFC00203	XynR	+	S 
RDBECOLITFC00093	Fur	fur	RDBECOLITFC00204	CadC	+	S 
RDBECOLITFC00093	Fur	fur	RDBECOLITFC00218	MetJ	-	W 
RDBECOLITFC00094	QseB	qseB	RDBECOLITFC00017	DnaA	-	S 
RDBECOLITFC00094	QseB	qseB	RDBECOLITFC00094	QseB	+	S 
RDBECOLITFC00094	QseB	qseB	RDBECOLITFC00127	FeaR	-+	W 
RDBECOLITFC00095	RcsB-BglJ	bglJ;rcsB	RDBECOLITFC00212	LeuO	+	S 
RDBECOLITFC00098	ArcA	arcA	RDBECOLITFC00037	LldR	-	S 
RDBECOLITFC00098	ArcA	arcA	RDBECOLITFC00056	BetI	-	W 
RDBECOLITFC00098	ArcA	arcA	RDBECOLITFC00077	GadE	+	S 
RDBECOLITFC00098	ArcA	arcA	RDBECOLITFC00090	XylR	+	W 
RDBECOLITFC00098	ArcA	arcA	RDBECOLITFC00096	AppY	+	W 
RDBECOLITFC00098	ArcA	arcA	RDBECOLITFC00098	ArcA	+	S 
RDBECOLITFC00098	ArcA	arcA	RDBECOLITFC00109	ArgR	+	S 
RDBECOLITFC00098	ArcA	arcA	RDBECOLITFC00128	FNR	-	W 
RDBECOLITFC00098	ArcA	arcA	RDBECOLITFC00167	RstA	+	S 
RDBECOLITFC00098	ArcA	arcA	RDBECOLITFC00173	DpiA	+	W 
RDBECOLITFC00098	ArcA	arcA	RDBECOLITFC00187	GadX	+	W 
RDBECOLITFC00098	ArcA	arcA	RDBECOLITFC00195	PutA	-	S 
RDBECOLITFC00098	ArcA	arcA	RDBECOLITFC00200	GlcC	-	C 
