Gene Name	Accession-1	Left-End-Position	Right-End-Position	Accession-2	Product	Names	Object ID	Regulation - genes directly activated by gene	Accession-1	Regulation - genes directly inhibited by gene	Accession-1	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	Transcription Units
fimZ	b0535	563848	564480	ECK0528	LuxR family transcriptional regulator FimZ	fimZ // ybcA // b0535 // ECK0528	EG11103	puuB // puuC // puuD // sfmC // sfmA	b1301 // b1300 // b1298 // b0531 // b0530			regulation of DNA-templated transcription // phosphorelay signal transduction system	cytoplasm // cytosol	DNA binding	fimZ
ldtD	b0925	981047	982894	ECK0916	L,D-transpeptidase LdtD	ldtD // ycbB // b0925 // ECK0916	EG11253					peptidoglycan metabolic process // cell wall organization // DNA damage response // regulation of cell shape // cellular response to cell envelope stress // response to antibiotic // peptidoglycan biosynthetic process	membrane // outer membrane-bounded periplasmic space // plasma membrane	hydrolase activity // transferase activity // glycosyltransferase activity // protein binding // carboxypeptidase activity // peptidoglycan L,D-transpeptidase activity // cysteine-type carboxypeptidase activity	ldtD
panE	b0425	443604	444515	ECK0419	2-dehydropantoate 2-reductase	panE // apbA // b0425 // ECK0419	G6239					pantothenate biosynthetic process	cytoplasm // cytosol	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor // oxidoreductase activity // NADP binding // 2-dehydropantoate 2-reductase activity	panE-yajL
kilS	b4833	1418405	1418502	ECK4690	Rac prophage; small RNA KilS	kilS // b4833 // ECK4690	G0-17108							protein binding // mRNA binding	
dnaG	b3066	3211107	3212852	ECK3056	DNA primase	dnaG // dnaP // parB // sdgA // b3066 // ECK3056	EG10239					replication fork processing // DNA unwinding involved in DNA replication // DNA replication // DNA replication, synthesis of primer	DNA-directed RNA polymerase complex // DnaB-DnaG complex // replisome // primosome complex // cytoplasm // cytosol	nucleotidyltransferase activity // protein binding // metal ion binding // DNA binding // zinc ion binding // DNA primase activity	rpsU-dnaG-rpoD // rpsU-dnaG-rpoD // rpsU-dnaG-rpoD
mdh	b3236	3383330	3384268	ECK3225	malate dehydrogenase	mdh // b3236 // ECK3225	EG10576					malate metabolic process // glycolytic process // tricarboxylic acid cycle // anaerobic respiration // fermentation	membrane // extrinsic component of membrane // cytoplasm // cytosol	protein homodimerization activity // oxidoreductase activity // malate dehydrogenase activity // L-malate dehydrogenase (NAD+) activity	mdh // mdh
nupG	b2964	3105714	3106970	ECK2959	nucleoside:H<sup>+</sup> symporter NupG	nupG // gru // b2964 // ECK2959	EG10664					adenosine transport // pyrimidine nucleoside transport // uridine transmembrane transport // purine nucleoside transmembrane transport // cytidine transport // nucleoside transmembrane transport	plasma membrane	symporter activity // nucleoside transmembrane transporter activity // cytidine transmembrane transporter activity // uridine transmembrane transporter activity // pyrimidine nucleoside transmembrane transporter activity // nucleoside:proton symporter activity	yggX-mltC-nupG // mutY-yggX-mltC-nupG // mutY-yggX-mltC-nupG // nupG
ypeD	b4819	2512687	2512776	ECK4676	protein YpeD	ypeD // b4819 // ECK4676	G0-17094								
panC	b0133	147944	148795	ECK0132	pantothenate synthetase	panC // b0133 // ECK0132	EG11746					pantothenate biosynthetic process	cytoplasm // cytosol	identical protein binding // ligase activity // ATP binding // protein binding // protein homodimerization activity // pantoate-beta-alanine ligase activity	panBC
yfjW	b2642	2773318	2775021	ECK2638	CP4-57 prophage; uncharacterized protein YfjW	yfjW // b2642 // ECK2638	G7377						plasma membrane		yfjW
lacY	b0343	361926	363179	ECK0340	lactose permease	lacY // b0343 // ECK0340	EG10526					carbohydrate transmembrane transport // proton transmembrane transport // transmembrane transport // carbohydrate transport // lactose transport	membrane // plasma membrane	symporter activity // lactose binding // carbohydrate:proton symporter activity // protein binding // lactose:proton symporter activity	lacYA // lacZYA // lacZYA // lacZYA // lacZYA
osmE	b1739	1821918	1822256	ECK1737	osmotically-inducible lipoprotein OsmE	osmE // anr // b1739 // ECK1737	EG10044					response to osmotic stress	outer membrane // plasma membrane	protein binding	osmE // osmE
mepM	b1856	1940313	1941635	ECK1857	peptidoglycan endopeptidase MepM	mepM // yebA // b1856 // ECK1857	EG10013					peptidoglycan turnover // cell wall organization // capsule polysaccharide biosynthetic process // septum digestion after cytokinesis // proteolysis // peptidoglycan metabolic process // cytokinesis	plasma membrane	endopeptidase activity // metal ion binding // metallopeptidase activity // protein binding // metalloendopeptidase activity	yebA
coaA	b3974	4174076	4175026	ECK3966	pantothenate kinase	coaA // panK // rts // ts-9 // b3974 // ECK3966	EG10922					phosphorylation // coenzyme A biosynthetic process	cytoplasm // cytosol	kinase activity // ATP binding // pantetheine kinase activity // protein homodimerization activity // pantothenate kinase activity	coaA
naRNA2		4326205	4326281		naRNA2	naRNA2	G0-16695								
holC	b4259	4483837	4484280	ECK4252	DNA polymerase III subunit &chi;	holC // b4259 // ECK4252	EG11413					DNA-templated DNA replication // DNA biosynthetic process // positive regulation of DNA-templated DNA replication initiation // DNA replication // response to radiation	DNA polymerase III complex // replisome // DNA polymerase III, clamp loader complex // cytosol	DNA binding // protein binding // DNA-directed DNA polymerase activity	holC-valS // holC
fucA	b2800	2933041	2933688	ECK2795	L-fuculose-phosphate aldolase	fucA // fucC // prd // b2800 // ECK2795	EG10348					monosaccharide metabolic process // arabinose catabolic process // pentose catabolic process // fucose catabolic process // fucose metabolic process // L-fucose catabolic process // D-arabinose catabolic process	cytosol	carbon-carbon lyase activity // lyase activity // zinc ion binding // metal ion binding // aldehyde-lyase activity // L-fuculose-phosphate aldolase activity	fucAO
ydcV	b1443	1514762	1515556	ECK1437	putative ABC transporter membrane subunit YdcV	ydcV // b1443 // ECK1437	G6754					transmembrane transport // DNA import into cell involved in transformation	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing // membrane // ATP-binding cassette (ABC) transporter complex // plasma membrane		ydcSTUV-patD
pmrR	b4703	4332116	4332205	ECK4515	small regulatory membrane protein PmrR	pmrR // b4703 // ECK4515	G0-10707						plasma membrane	enzyme inhibitor activity	
dfp	b3639	3812731	3813951	ECK3629	fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase	dfp // coaBC // b3639 // ECK3629	EG10004					pantothenate catabolic process // coenzyme A biosynthetic process	phosphopantothenoylcysteine decarboxylase complex // cytosol	protein binding // ligase activity // carboxy-lyase activity // catalytic activity // metal ion binding // identical protein binding // FMN binding // phosphopantothenoylcysteine decarboxylase activity // phosphopantothenate--cysteine ligase activity	dfp
yffR	b2449	2563980	2564372	ECK2444	CPZ-55 prophage; uncharacterized protein YffR	yffR // b2449 // ECK2444	G7279								yffQR
bglB	b3721	3902289	3903701	ECK3714	cryptic 6-phospho-&beta;-glucosidase B	bglB // blgA // b3721 // ECK3714	EG10114					carbohydrate catabolic process // carbohydrate metabolic process	cytosol	beta-glucosidase activity // hydrolase activity, hydrolyzing O-glycosyl compounds // hydrolase activity, acting on glycosyl bonds // 6-phospho-beta-glucosidase activity	bglGFB
gntR	b3438	3577731	3578726	ECK3423	DNA-binding transcriptional repressor GntR	gntR // b3438 // ECK3423	EG12630			idnR // idnT // idnO // idnD // idnK // nfuA // yhgH // eda // edd // gntT // gntU // gntK	b4264 // b4265 // b4266 // b4267 // b4268 // b3414 // b3413 // b1850 // b1851 // b3415 // b4476 // b3437	regulation of DNA-templated transcription // D-gluconate catabolic process // DNA damage response // positive regulation of DNA-templated transcription // negative regulation of DNA-templated transcription	cytosol	DNA-binding transcription factor activity // transcription cis-regulatory region binding // DNA binding	gntRKU // gntR // gntR // gntR
lpoB	b1105	1162638	1163279	ECK1091	outer membrane lipoprotein - activator of MrcB activity	lpoB // ycfM // b1105 // ECK1091	G6565					regulation of cell shape // peptidoglycan biosynthetic process	periplasmic side of cell outer membrane // cell outer membrane	protein binding // enzyme regulator activity // enzyme activator activity // enzyme binding	hinT-ycfL-lpoB-thiK-nagZ-ycfP
panD	b0131	146314	146694	ECK0130	PanD &beta; cleavage product // PanD &alpha; cleavage product // aspartate 1-decarboxylase proenzyme	panD // b0131 // ECK0130	EG11747					alanine biosynthetic process // pantothenate biosynthetic process // protein autoprocessing	cytoplasm // cytosol	carboxy-lyase activity // aspartate 1-decarboxylase activity	panD // panD
yidD	b4557	3884816	3885073	ECK3697	membrane protein insertion efficiency factor	yidD // b4557 // ECK3697	G0-10470					protein insertion into membrane	plasma membrane	membrane insertase activity	
priB	b4201	4425520	4425834	ECK4197	primosomal replication protein N	priB // b4201 // ECK4197	EG10764					replication fork processing // DNA unwinding involved in DNA replication // DNA replication // DNA replication, synthesis of primer // response to radiation // plasmid maintenance // DNA replication initiation	DnaB-DnaC-DnaT-PriA-PriB complex // pre-primosome complex // replisome // primosome complex // cytosol	identical protein binding // DNA binding // protein binding // single-stranded DNA binding	rpsF-priB-rpsR-rplI
aceE	b0114	123017	125680	ECK0113	pyruvate dehydrogenase E1 component	aceE // b0114 // ECK0113	EG10024					pyruvate catabolic process	pyruvate dehydrogenase complex // cytosol // membrane	molecular adaptor activity // small molecule binding // protein homodimerization activity // thiamine pyrophosphate binding // magnesium ion binding // oxidoreductase activity // identical protein binding // pyruvate dehydrogenase activity // metal ion binding // protein binding // pyruvate dehydrogenase (acetyl-transferring) activity	aceEF // pdhR-aceEF-lpdA // aceEF // pdhR-aceEF-lpdA
rutG	b1006	1068511	1069839	ECK0997	pyrimidine:H<sup>+</sup> symporter	rutG // ycdG // b1006 // ECK0997	G6517					transmembrane transport // pyrimidine nucleotide transport // pyrimidine nucleobase transmembrane transport // uracil import across plasma membrane // uracil catabolic process	membrane // plasma membrane	nucleobase transmembrane transporter activity // pyrimidine nucleotide transmembrane transporter activity // symporter activity // pyrimidine nucleobase transmembrane transporter activity // uracil:monoatomic cation symporter activity // uracil transmembrane transporter activity	rutABCDEFG
ycfJ	b1110	1167599	1168138	ECK1096	PF05433 family protein YcfJ	ycfJ // b1110 // ECK1096	EG12444					regulation of single-species biofilm formation	outer membrane // membrane // plasma membrane		ycfJ
coaD	b3634	3809825	3810304	ECK3624	pantetheine-phosphate adenylyltransferase	coaD // yicA // kdtB // b3634 // ECK3624	EG11190					coenzyme A biosynthetic process	cytoplasm // cytosol	protein binding // nucleotidyltransferase activity // ATP binding // identical protein binding // pantetheine-phosphate adenylyltransferase activity	kdtA-coaD
yfdK	b2354	2471077	2471517	ECK2348	CPS-53 (KpLE1) prophage; putative tail fiber assembly protein YfdK	yfdK // b2354 // ECK2348	G7223					response to oxidative stress			yfdONMLK
fruB	b2169	2262365	2263495	ECK2162	FruB - his299 phosphorylated // fructose-specific PTS multiphosphoryl transfer protein FruB	fruB // fpr // fruF // b2169 // ECK2162	G7990					phosphorylation // fructose import across plasma membrane // phosphoenolpyruvate-dependent sugar phosphotransferase system	transmembrane transporter complex // plasma membrane // cytoplasm	protein-phosphocysteine-sugar phosphotransferase activity // kinase activity // protein binding // protein-N(PI)-phosphohistidine-fructose phosphotransferase system transporter activity	fruBKA
envR	b3264	3412803	3413465	ECK3251	DNA-binding transcriptional repressor EnvR	envR // acrS // yhdK // b3264 // ECK3251	EG11741			acrA // acrB	b0463 // b0462	negative regulation of DNA-templated transcription // response to xenobiotic stimulus	cytosol	DNA binding // DNA-binding transcription factor activity	envR
murE	b0085	93166	94653	ECK0086	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	murE // b0085 // ECK0086	EG10621					cell wall organization // biosynthetic process // cell division // regulation of cell shape // peptidoglycan biosynthetic process	cytoplasm // cytosol	magnesium ion binding // protein binding // acid-amino acid ligase activity // ligase activity // ATP binding // UDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase activity	ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // rsmH-ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // mraZW-ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
entF	b0586	614157	618038	ECK0579	seryl-[EntF peptidyl-carrier protein] // <i>holo</i> [EntF peptidyl-carrier protein] // apo-serine activating enzyme	entF // b0586 // ECK0579	EG10264					secondary metabolite biosynthetic process // biosynthetic process // amino acid activation for nonribosomal peptide biosynthetic process // enterobactin biosynthetic process	cytoplasm // plasma membrane // cytosol // enterobactin synthetase complex	2,3-dihydroxybenzoate-serine ligase activity // nucleotidyltransferase activity // ATP binding // ligase activity // transferase activity // catalytic activity // phosphopantetheine binding	fes-ybdZ-entF-fepE
yhjY	b3548	3712236	3712934	ECK3535	putative outer membrane protein YhjY	yhjY // b3548 // ECK3535	EG12269						outer membrane // extracellular region		yhjY
dnaB	b4052	4264314	4265729	ECK4044	replicative DNA helicase	dnaB // groP // grpA // grpD // b4052 // ECK4044	EG10236					DNA duplex unwinding // replication fork processing // DNA replication initiation // DNA replication, synthesis of primer // response to ionizing radiation // DNA unwinding involved in DNA replication // DNA replication	DnaB-DnaC complex // DnaB-DnaG complex // DnaB-DnaC-DnaT-PriA-PriB complex // DnaB-DnaC-DnaT-PriA-PriC complex // DnaB-DnaC-Rep-PriC complex // replisome // DNA helicase complex // primosome complex // cytosol	isomerase activity // 5'-3' DNA helicase activity // ATP hydrolysis activity // hydrolase activity // identical protein binding // protein binding // ATP binding // DNA binding // helicase activity // DNA helicase activity	dnaB
kbaZ	b3132	3278914	3280194	ECK3120	putative tagatose-1,6-bisphosphate aldolase 1 chaperone	kbaZ // yhaX // agaZ // b3132 // ECK3120	G7631					carbohydrate metabolic process // phosphoenolpyruvate-dependent sugar phosphotransferase system // D-tagatose 6-phosphate catabolic process	plasma membrane // catalytic complex // cytosol	enzyme activator activity	kbaZ-agaVWA
ybhS	b0793	826119	827252	ECK0782	ABC exporter membrane subunit YbhS	ybhS // b0793 // ECK0782	G6410					tetracycline transmembrane transport // xenobiotic transmembrane transport // sodium ion transmembrane transport // lithium ion transmembrane transport // xenobiotic detoxification by transmembrane export across the plasma membrane	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing // membrane // plasma membrane	ABC-type transporter activity // efflux transmembrane transporter activity	cecR-ybhGFSR
yhjG	b3524	3676290	3678350	ECK3509	AsmA family protein YhjG	yhjG // yhjF // b3524 // ECK3509	EG12251					regulation of protein targeting to membrane	plasma membrane		yhjG
coaE	b0103	112599	113219	ECK0103	dephospho-CoA kinase	coaE // yacE // b0103 // ECK0103	EG12312					phosphorylation // coenzyme A biosynthetic process	cytosol // cytoplasm	kinase activity // ATP binding // dephospho-CoA kinase activity	coaE-zapD-yacG
ydfW	b1567	1647174	1647323	ECK1561	Qin prophage; protein YdfW	ydfW // intK // b1567 // ECK1561	G6834								dicC-ydfXW
ydjI	b1773	1856933	1857769	ECK1771	L-<i>glycero</i>-L-galacto-octuluronate-1-phosphate aldolase	ydjI // b1773 // ECK1771	G6960					carbohydrate metabolic process // protein homotetramerization	cytosol	tagatose-bisphosphate aldolase activity // identical protein binding // aldehyde-lyase activity // zinc ion binding	ydjLKJIHG
kdpE	b0694	721056	721733	ECK0682	KdpE-Phosphorylated // DNA-binding transcriptional dual regulator KdpE	kdpE // b0694 // ECK0682	EG10517	uxaA // uxaC // kdpF // kdpC // kdpB // kdpA	b3091 // b3092 // b4513 // b0696 // b0697 // b0698	adeP // rsd // rmf	b3714 // b3995 // b0953	positive regulation of DNA-templated transcription // phosphorelay signal transduction system // regulation of DNA-templated transcription	protein-DNA complex // cytoplasm // cytosol	transcription cis-regulatory region binding // phosphorelay response regulator activity // DNA binding // DNA-binding transcription factor activity // protein homodimerization activity // DNA-binding transcription activator activity // protein binding // cis-regulatory region sequence-specific DNA binding	kdpDE
ldtB	b0819	854824	855744	ECK0809	L,D-transpeptidase LdtB	ldtB // ybiS // b0819 // ECK0809	G6422					peptidoglycan metabolic process // cell wall organization // peptidoglycan biosynthetic process // regulation of cell shape // peptidoglycan-protein cross-linking	periplasmic space // outer membrane-bounded periplasmic space	hydrolase activity // transferase activity // glycosyltransferase activity // carboxypeptidase activity // peptidoglycan L,D-transpeptidase activity	ldtB
panB	b0134	148807	149601	ECK0133	3-methyl-2-oxobutanoate hydroxymethyltransferase	panB // b0134 // ECK0133	EG11675					pantothenate biosynthetic process	membrane // cytoplasm // cytosol	metal ion binding // transferase activity // identical protein binding // magnesium ion binding // 3-methyl-2-oxobutanoate hydroxymethyltransferase activity	panBC
yehI	b2118	2200279	2203911	ECK2109	DUF4132 domain-containing protein YehI	yehI // b2118 // ECK2109	EG11995						plasma membrane		yehHI
polA	b3863	4046966	4049752	ECK3855	DNA polymerase I	polA // resA // b3863 // ECK3855	EG10746					DNA damage response // double-strand break repair // DNA biosynthetic process // base-excision repair // DNA-templated DNA replication // DNA repair // DNA replication	cytosol // cytoplasm	hydrolase activity, acting on ester bonds // exonuclease activity // 5'-3' exonuclease activity // 3'-5' exonuclease activity // DNA binding // DNA-directed DNA polymerase activity	polA
paaZ	b1387	1451597	1453642	ECK1384	fused 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase and oxepin-CoA hydrolase	paaZ // ydbN // maoC // b1387 // ECK1384	G6708					phenylacetate catabolic process	cytosol	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor // lyase activity // hydrolase activity, acting on acid carbon-carbon bonds, in ketonic substances // hydrolase activity // oxidoreductase activity, acting on CH or CH2 groups, NAD or NADP as acceptor // oxidoreductase activity // identical protein binding // ether hydrolase activity // enoyl-CoA hydratase activity	paaZ
fsr	b0479	503476	504696	ECK0473	fosmidomycin efflux pump	fsr // b0479 // ECK0473	G6256					transmembrane transport // DNA damage response // response to antibiotic	plasma membrane	transmembrane transporter activity	fsr
yiiF	b3890	4079751	4079969	ECK3883	protein YiiF	yiiF // b3890 // ECK3883	EG11855					regulation of DNA-templated transcription	cytosol	sequence-specific DNA binding	yiiF
panF	b3258	3407607	3409058	ECK3245	pantothenate:Na+ symporter	panF // b3258 // ECK3245	EG10685					carboxylic acid transport // sodium ion export across plasma membrane // sodium ion transport // pantothenate transmembrane transport	membrane // plasma membrane	sodium ion transmembrane transporter activity // pantothenate transmembrane transporter activity // symporter activity	yhdT-panF-prmA
ydfK	b1544	1633072	1633305	ECK1537	Qin prophage; cold shock protein YdfK	ydfK // b1544 // ECK1537	G6818					response to cold			yntF-ydfK
xylF	b3566	3731131	3732123	ECK3555	xylose ABC transporter periplasmic binding protein	xylF // xylT // b3566 // ECK3555	EG20252					D-xylose metabolic process // D-ribose transmembrane transport // D-xylose transmembrane transport	membrane // ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing // periplasmic space // outer membrane-bounded periplasmic space	carbohydrate binding // monosaccharide binding	xylFGHR
slyA	b1642	1720390	1720824	ECK1638	DNA-binding transcriptional dual regulator SlyA	slyA // b1642 // ECK1638	G6882	rmf // rsd // pagP // leuO // gspO // gspM // gspL // gspK // gspJ // gspI // gspH // gspG // gspF // gspE // gspD // gspC // slyA // mdtM // yjiN // paaK // paaJ // paaI // paaH // paaG // paaF // paaE // paaD // paaC // paaB // paaA // elfA // casA // casB // casC // casD // casE // cas1 // cas2 // hlyE	b0953 // b3995 // b0622 // b0076 // b3335 // b3334 // b3333 // b3332 // b3331 // b3330 // b3329 // b3328 // b3327 // b3326 // b3325 // b3324 // b1642 // b4337 // b4336 // b1398 // b1397 // b1396 // b1395 // b1394 // b1393 // b1392 // b1391 // b1390 // b1389 // b1388 // b0938 // b2760 // b2759 // b2758 // b2757 // b2756 // b2755 // b2754 // b1182	sgcX // sgcB // sgcC // sgcQ // sgcA // sgcE // sgcR // fecR // fecI	b4305 // b4565 // b4304 // b4303 // b4302 // b4301 // b4300 // b4292 // b4293	response to stress // positive regulation of DNA-templated transcription // regulation of DNA-templated transcription // positive regulation of DNA-templated transcription initiation // negative regulation of DNA-templated transcription initiation	cytosol	DNA-binding transcription factor activity // DNA binding	slyA
mrdA	b0635	666316	668217	ECK0628	peptidoglycan DD-transpeptidase MrdA	mrdA // pbpA // b0635 // ECK0628	EG10606					proteolysis // response to antibiotic // regulation of cell shape // cell wall organization // peptidoglycan biosynthetic process	membrane // outer membrane-bounded periplasmic space // plasma membrane	peptidoglycan L,D-transpeptidase activity // carboxypeptidase activity // protein binding // serine-type D-Ala-D-Ala carboxypeptidase activity // penicillin binding	rsfS-rlmH-mrdAB-rlpA
folC	b2315	2431674	2432942	ECK2309	bifunctional folylpolyglutamate synthetase / dihydrofolate synthetase	folC // dedC // b2315 // ECK2309	EG10327					tetrahydrofolate biosynthetic process // folic acid-containing compound biosynthetic process // one-carbon metabolic process // tetrahydrofolylpolyglutamate biosynthetic process // dihydrofolate biosynthetic process // 10-formyltetrahydrofolate biosynthetic process // folic acid biosynthetic process	cytosol // cytoplasm	acid-amino acid ligase activity // guanosine tetraphosphate binding // metal ion binding // ligase activity // ATP binding // dihydrofolate synthase activity // tetrahydrofolylpolyglutamate synthase activity	folC-dedD
yicN	b3663	3841950	3842402	ECK3654	DUF1198 domain-containing protein YicN	yicN // b3663 // ECK3654	EG11690						membrane		yicN
hda	b2496	2618075	2618776	ECK2492	inibitor of reinitiation of DNA replication	hda // idaB // yfgE // b2496 // ECK2492	G7313					regulation of DNA-templated DNA replication initiation // DNA replication initiation // negative regulation of DNA replication // DNA replication // negative regulation of DNA-templated DNA replication initiation	replication inhibiting complex // Hda-beta clamp complex // plasma membrane // cytosol // membrane	identical protein binding // protein binding // nucleotide binding // ADP binding	hda
uxaA	b3091	3241827	3243314	ECK3082	D-altronate dehydratase	uxaA // ygjW // b3091 // ECK3082	EG12734					D-galacturonate catabolic process	cytosol	lyase activity // ferrous iron binding // altronate dehydratase activity	uxaCA // uxaCA
cydH	b4602	1737456	1737545	ECK4411	cytochrome <i>bd</i>-I accessory subunit CydH	cydH // ynhF // cydY // b4602 // ECK4411	G0-10594					cellular response to hypoxia	plasma membrane // cytochrome complex // membrane	protein binding	
yjiH	b4330	4559997	4560680	ECK4321	uncharacterized protein YjiH	yjiH // b4330 // ECK4321	G7927						plasma membrane		yjiHG-iadA
folM	b1606	1680976	1681698	ECK1601	dihydromonapterin reductase	folM // ydgB // b1606 // ECK1601	G6862					pteridine-containing compound biosynthetic process // protein homotetramerization // one-carbon metabolic process // folic acid biosynthetic process // 10-formyltetrahydrofolate biosynthetic process	cytosol	identical protein binding // oxidoreductase activity // dihydrofolate reductase activity // dihydromonapterin reductase activity	ydgI-folM
xisR	b1346	1413237	1413452	ECK1343	Rac prophage; excisionase	xisR // ydaQ // b1346 // ECK1343	G6677					provirus excision		sequence-specific double-stranded DNA binding	recET-ralR-rcbA-xisR-intR
